特殊装备ID	特殊装备名称	觉醒后名称	特殊装备描述	特殊装备ICON	觉醒后ICON	卡片ID	特殊装备部位	攻击加成	生命加成	攻击加成步长	生命加成步长	1星消耗	2星消耗	3星消耗	4星消耗	5星消耗
Id	SpecialEquNameId	AwakeNameId	SpecialEquExplainId	SpecialEquIcon	AwakeIcon	CardId	SpecialEquPos	AttackPlus	HPPlus	AttackPlusStep	HPPlusStep	Awake1Consume	Awake2Consume	Awake3Consume	Awake4Consume	Awake5Consume
int	string	string	int	string	string	int	int	string	string	int	int	string	string	string	string	string
3500001	SpecialEquNameId_3500001	AwakeNameId_3500001	0	Icon_Tscl1_064	Icon_Tscl1_066	0	1	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	0	4011001:1,4100004:1	4011001:1,4100004:2	4011001:1,4100004:4	4011001:1,4100004:8	4011001:1,4100004:16
3500002	SpecialEquNameId_3500002	AwakeNameId_3500002	0	Icon_Tscl1_065	Icon_Tscl1_067	0	1	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	0	4011002:1,4100004:1	4011002:1,4100004:2	4011002:1,4100004:4	4011002:1,4100004:8	4011002:1,4100004:16
3500003	SpecialEquNameId_3500003	AwakeNameId_3500003	0	Icon_Tscl1_064	Icon_Tscl1_066	0	1	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	0	4011003:1,4100004:1	4011003:1,4100004:2	4011003:1,4100004:4	4011003:1,4100004:8	4011003:1,4100004:16
3500004	SpecialEquNameId_3500004	AwakeNameId_3500004	0	Icon_Tscl1_065	Icon_Tscl1_067	0	1	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	0	4011004:1,4100004:1	4011004:1,4100004:2	4011004:1,4100004:4	4011004:1,4100004:8	4011004:1,4100004:16
3500005	SpecialEquNameId_3500005	AwakeNameId_3500005	0	Icon_Tscl1_064	Icon_Tscl1_066	0	1	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	0	4011005:1,4100004:1	4011005:1,4100004:2	4011005:1,4100004:4	4011005:1,4100004:8	4011005:1,4100004:16
3500006	SpecialEquNameId_3500006	AwakeNameId_3500006	0	Icon_Tscl1_065	Icon_Tscl1_067	0	1	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	0	4011006:1,4100004:1	4011006:1,4100004:2	4011006:1,4100004:4	4011006:1,4100004:8	4011006:1,4100004:16
3600001	SpecialEquNameId_3600001	AwakeNameId_3600001	0	Icon_Tscl1_064	Icon_Tscl1_066	0	2	0	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	4011007:1,4100004:1	4011007:1,4100004:2	4011007:1,4100004:4	4011007:1,4100004:8	4011007:1,4100004:16
3600002	SpecialEquNameId_3600002	AwakeNameId_3600002	0	Icon_Tscl1_065	Icon_Tscl1_067	0	2	0	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	4011008:1,4100004:1	4011008:1,4100004:2	4011008:1,4100004:4	4011008:1,4100004:8	4011008:1,4100004:16
3600003	SpecialEquNameId_3600003	AwakeNameId_3600003	0	Icon_Tscl1_064	Icon_Tscl1_066	0	2	0	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	4011009:1,4100004:1	4011009:1,4100004:2	4011009:1,4100004:4	4011009:1,4100004:8	4011009:1,4100004:16
3600004	SpecialEquNameId_3600004	AwakeNameId_3600004	0	Icon_Tscl1_065	Icon_Tscl1_067	0	2	0	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	4011010:1,4100004:1	4011010:1,4100004:2	4011010:1,4100004:4	4011010:1,4100004:8	4011010:1,4100004:16
3600005	SpecialEquNameId_3600005	AwakeNameId_3600005	0	Icon_Tscl1_064	Icon_Tscl1_066	0	2	0	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	4011011:1,4100004:1	4011011:1,4100004:2	4011011:1,4100004:4	4011011:1,4100004:8	4011011:1,4100004:16
3600006	SpecialEquNameId_3600006	AwakeNameId_3600006	0	Icon_Tscl1_065	Icon_Tscl1_067	0	2	0	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	4011012:1,4100004:1	4011012:1,4100004:2	4011012:1,4100004:4	4011012:1,4100004:8	4011012:1,4100004:16
3600007	SpecialEquNameId_3600007	AwakeNameId_3600007	0	Icon_Tscl1_064	Icon_Tscl1_066	0	2	0	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	4011013:1,4100004:1	4011013:1,4100004:2	4011013:1,4100004:4	4011013:1,4100004:8	4011013:1,4100004:16
3600008	SpecialEquNameId_3600008	AwakeNameId_3600008	0	Icon_Tscl1_065	Icon_Tscl1_067	0	2	0	220+SpecialEquStar*500+SpecialEquQuality*200	0	20	4011014:1,4100004:1	4011014:1,4100004:2	4011014:1,4100004:4	4011014:1,4100004:8	4011014:1,4100004:16
