基础ID	特殊装备部位	需求人物等级	特殊装备品质等级	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量
Id	SpecialEquPos	NeedPlayerLv	SpecialEquQuality	Material1Id	Material1Num	Material2Id	Material2Num	Material3Id	Material3Num	Material4Id	Material4Num	Material5Id	Material5Num
int	int	int	int	int	int	int	int	int	int	int	int	int	int
501	5	11	1	1	5000	9	100	0	0	0	0	0	0
502	5	21	2	1	10000	9	200	0	0	0	0	0	0
503	5	26	3	1	15000	9	300	0	0	0	0	0	0
504	5	31	4	1	20000	9	400	0	0	0	0	0	0
505	5	36	5	1	25000	9	500	0	0	0	0	0	0
506	5	41	6	1	30000	9	600	0	0	0	0	0	0
507	5	46	7	1	35000	9	700	0	0	0	0	0	0
508	5	51	8	1	40000	9	800	0	0	0	0	0	0
509	5	56	9	1	50000	9	900	0	0	0	0	0	0
510	5	61	10	1	60000	9	1200	0	0	0	0	0	0
511	5	66	11	1	80000	9	1500	0	0	0	0	0	0
512	5	71	12	1	100000	9	1800	0	0	0	0	0	0
513	5	76	13	1	120000	9	2100	0	0	0	0	0	0
514	5	81	14	1	140000	9	2400	0	0	0	0	0	0
515	5	86	15	1	160000	9	2700	0	0	0	0	0	0
516	5	91	16	1	180000	9	3000	0	0	0	0	0	0
517	5	96	17	1	200000	9	3500	0	0	0	0	0	0
518	5	101	18	1	220000	9	4000	0	0	0	0	0	0
601	6	11	1	1	5000	7	100	0	0	0	0	0	0
602	6	21	2	1	10000	7	200	0	0	0	0	0	0
603	6	26	3	1	15000	7	300	0	0	0	0	0	0
604	6	31	4	1	20000	7	400	0	0	0	0	0	0
605	6	36	5	1	25000	7	500	0	0	0	0	0	0
606	6	41	6	1	30000	7	600	0	0	0	0	0	0
607	6	46	7	1	35000	7	700	0	0	0	0	0	0
608	6	51	8	1	40000	7	800	0	0	0	0	0	0
609	6	56	9	1	50000	7	900	0	0	0	0	0	0
610	6	61	10	1	60000	7	1200	0	0	0	0	0	0
611	6	66	11	1	80000	7	1500	0	0	0	0	0	0
612	6	71	12	1	100000	7	1800	0	0	0	0	0	0
613	6	76	13	1	120000	7	2100	0	0	0	0	0	0
614	6	81	14	1	140000	7	2400	0	0	0	0	0	0
615	6	86	15	1	160000	7	2700	0	0	0	0	0	0
616	6	91	16	1	180000	7	3000	0	0	0	0	0	0
617	6	96	17	1	200000	7	3500	0	0	0	0	0	0
618	6	101	18	1	220000	7	4000	0	0	0	0	0	0
