主ID	购买消耗	刷新消耗	商店刷新消耗	试练塔宝箱消耗	体力购买消耗	竞技场挑战次数购买	竞技场刷新对手钻石消耗
Id	ChanceConsume	RefreshConsume	ShopRefreshConsume	TowerPracticeConsume	SpiritShopConsume	PVPChallengeConsume	PVPRefreshConsume
int	string	string	string	string	string	string	string
1	2:10	2:30	2:10	2:10	2:30	2:10	2:5
2	2:10	2:30	2:20	2:20	2:30	2:15	0
3	2:10	2:30	2:30	2:30	2:50	2:15	0
4	2:10	2:30	2:40	2:40	2:50	2:20	0
5	2:10	2:30	2:50	2:50	2:50	2:20	0
6	2:10	2:30	2:60	2:60	2:50	2:20	0
7	2:10	2:30	2:70	2:70	2:80	2:25	0
8	2:10	2:30	2:80	2:80	2:80	2:25	0
9	2:10	2:30	2:90	2:90	2:80	2:25	0
10	2:10	2:30	2:100	2:100	2:80	2:30	0
11	2:10	2:30	2:100	2:110	2:120	2:30	0
12	2:10	2:30	2:100	2:120	2:120	2:30	0
13	2:10	2:30	2:100	2:130	2:120	2:30	0
14	2:10	2:30	2:100	2:140	2:120	2:40	
15	2:10	2:30	2:100	2:150	2:170	2:40	
16	2:10	2:30	2:100	2:160	2:170	2:40	
17	2:10	2:30	2:100	2:170	2:170	2:40	
18	2:10	2:30	2:100	2:180	2:170	2:50	
19	2:10	2:30	2:100	2:190	2:230		
20	2:10	2:30	2:100	2:200	2:230		
21	2:10	2:30	2:100	2:210			
22	2:10	2:30	2:100	2:220			
23	2:10	2:30	2:100	2:230			
