装备ID	装备名称	装备觉醒后名称	装备描述	装备ICON	觉醒后ICON	装备部位	攻击	防御	生命	攻击步长	防御步长	生命步长	1星消耗	2星消耗	3星消耗	4星消耗	5星消耗
Id	EquipmentNameId	AwakeNameId	EquipmentExplainId	EquipmentIcon	AwakeIcon	EquipmentPos	Attack	Defense	HP	AttackStep	DefenseStep	HPStep	Awake1Consume	Awake2Consume	Awake3Consume	Awake4Consume	Awake5Consume
int	string	string	int	string	string	int	string	string	string	string	string	string	string	string	string	string	string
2100001	EquipmentNameId_2100001	AwakeNameId_2100001	0	Icon_Tscl1_068	Icon_Tscl1_074	1	26*EquipStar*11+(EquipQuality-1)*20	0	0	4+2*(EquipQuality-1)+EquipStar	0	0	4010001:1,4100004:1	4010001:1,4100004:2	4010001:1,4100004:4	4010001:1,4100004:8	4010001:1,4100004:16
2100002	EquipmentNameId_2100002	AwakeNameId_2100002	0	Icon_Tscl1_069	Icon_Tscl1_075	1	24*EquipStar*11+(EquipQuality-1)*20	0	0	4+2*(EquipQuality-1)+EquipStar	0	0	4010002:1,4100004:1	4010002:1,4100004:2	4010002:1,4100004:4	4010002:1,4100004:8	4010002:1,4100004:16
2100003	EquipmentNameId_2100003	AwakeNameId_2100003	0	Icon_Tscl1_070	Icon_Tscl1_076	1	21*EquipStar*11+(EquipQuality-1)*20	0	0	4+2*(EquipQuality-1)+EquipStar	0	0	4010003:1,4100004:1	4010003:1,4100004:2	4010003:1,4100004:4	4010003:1,4100004:8	4010003:1,4100004:16
2100004	EquipmentNameId_2100004	AwakeNameId_2100004	0	Icon_Tscl1_071	Icon_Tscl1_077	1	21*EquipStar*11+(EquipQuality-1)*20	0	0	4+2*(EquipQuality-1)+EquipStar	0	0	4010004:1,4100004:1	4010004:1,4100004:2	4010004:1,4100004:4	4010004:1,4100004:8	4010004:1,4100004:16
2100005	EquipmentNameId_2100005	AwakeNameId_2100005	0	Icon_Tscl1_072	Icon_Tscl1_078	1	24*EquipStar*11+(EquipQuality-1)*20	0	0	4+2*(EquipQuality-1)+EquipStar	0	0	4010005:1,4100004:1	4010005:1,4100004:2	4010005:1,4100004:4	4010005:1,4100004:8	4010005:1,4100004:16
2100006	EquipmentNameId_2100006	AwakeNameId_2100006	0	Icon_Tscl1_073	Icon_Tscl1_079	1	26*EquipStar*11+(EquipQuality-1)*20	0	0	4+2*(EquipQuality-1)+EquipStar	0	0	4010006:1,4100004:1	4010006:1,4100004:2	4010006:1,4100004:4	4010006:1,4100004:8	4010006:1,4100004:16
2100007	EquipmentNameId_2100007	AwakeNameId_2100007	0	Icon_Tscl1_068	Icon_Tscl1_074	1	24*EquipStar*11+(EquipQuality-1)*20	0	0	4+2*(EquipQuality-1)+EquipStar	0	0	4010007:1,4100004:1	4010007:1,4100004:2	4010007:1,4100004:4	4010007:1,4100004:8	4010007:1,4100004:16
2100008	EquipmentNameId_2100008	AwakeNameId_2100008	0	Icon_Tscl1_069	Icon_Tscl1_075	1	21*EquipStar*11+(EquipQuality-1)*20	0	0	4+2*(EquipQuality-1)+EquipStar	0	0	4010008:1,4100004:1	4010008:1,4100004:2	4010008:1,4100004:4	4010008:1,4100004:8	4010008:1,4100004:16
