基础ID	卡片资质类型	装备等级	武器金币消耗	衣服金币消耗	裤子金币消耗	鞋金币消耗
Id	CardType	EquipmentLevel	WeaponUse	ClothesUse	TrousersUse	ShoesUse
int	int	int	int	int	int	int
101	1	1	1200	1200	1200	1200
102	1	2	1200	1200	1200	1200
103	1	3	1200	1200	1200	1200
104	1	4	1200	1200	1200	1200
105	1	5	1200	1200	1200	1200
106	1	6	1200	1200	1200	1200
107	1	7	1200	1200	1200	1200
108	1	8	1200	1200	1200	1200
109	1	9	1200	1200	1200	1200
110	1	10	2640	2640	2640	2640
111	1	11	2640	2640	2640	2640
112	1	12	2640	2640	2640	2640
113	1	13	2640	2640	2640	2640
114	1	14	2640	2640	2640	2640
115	1	15	3000	3000	3000	3000
116	1	16	3000	3000	3000	3000
117	1	17	3000	3000	3000	3000
118	1	18	3000	3000	3000	3000
119	1	19	3000	3000	3000	3000
120	1	20	3250	3250	3250	3250
121	1	21	3250	3250	3250	3250
122	1	22	3250	3250	3250	3250
123	1	23	3250	3250	3250	3250
124	1	24	3250	3250	3250	3250
125	1	25	3500	3500	3500	3500
126	1	26	3500	3500	3500	3500
127	1	27	3500	3500	3500	3500
128	1	28	3500	3500	3500	3500
129	1	29	3500	3500	3500	3500
130	1	30	3900	3900	3900	3900
131	1	31	3900	3900	3900	3900
132	1	32	3900	3900	3900	3900
133	1	33	3900	3900	3900	3900
134	1	34	3900	3900	3900	3900
135	1	35	4300	4300	4300	4300
136	1	36	4300	4300	4300	4300
137	1	37	4300	4300	4300	4300
138	1	38	4300	4300	4300	4300
139	1	39	4300	4300	4300	4300
140	1	40	4800	4800	4800	4800
141	1	41	4800	4800	4800	4800
142	1	42	4800	4800	4800	4800
143	1	43	4800	4800	4800	4800
144	1	44	4800	4800	4800	4800
145	1	45	5300	5300	5300	5300
146	1	46	5300	5300	5300	5300
147	1	47	5300	5300	5300	5300
148	1	48	5300	5300	5300	5300
149	1	49	5300	5300	5300	5300
150	1	50	6050	6050	6050	6050
151	1	51	6050	6050	6050	6050
152	1	52	6050	6050	6050	6050
153	1	53	6050	6050	6050	6050
154	1	54	6050	6050	6050	6050
155	1	55	6800	6800	6800	6800
156	1	56	6800	6800	6800	6800
157	1	57	6800	6800	6800	6800
158	1	58	6800	6800	6800	6800
159	1	59	6800	6800	6800	6800
160	1	60	7800	7800	7800	7800
161	1	61	7800	7800	7800	7800
162	1	62	7800	7800	7800	7800
163	1	63	7800	7800	7800	7800
164	1	64	7800	7800	7800	7800
165	1	65	8800	8800	8800	8800
166	1	66	8800	8800	8800	8800
167	1	67	8800	8800	8800	8800
168	1	68	8800	8800	8800	8800
169	1	69	8800	8800	8800	8800
