Pid	公会等级	公会经验	公会人数	功能开放	职务数量
id	GuildLevel	GuildExp	GuildPeople	FunctionOpening	JobCount
int	int	int	int	string	string
1	1	5000	30	1,2	1:1,2:2,3:0
2	2	10000	30	1,2	1:1,2:2,3:0
3	3	15000	32	1,2	1:1,2:2,3:0
4	4	20000	32	1,2	1:1,2:2,3:0
5	5	26000	34	1,2	1:1,2:2,3:0
6	6	32000	34	1,2	1:1,2:2,3:0
7	7	38000	36	1,2	1:1,2:2,3:0
8	8	44000	36	1,2	1:1,2:2,3:3
9	9	50000	38	1,2	1:1,2:2,3:3
10	10	60000	38	1,2	1:1,2:3,3:3
11	11	70000	40	1,2	1:1,2:3,3:3
12	12	85000	40	1,2	1:1,2:3,3:3
13	13	100000	42	1,2	1:1,2:3,3:3
14	14	115000	42	1,2	1:1,2:3,3:3
15	15	130000	44	1,2	1:1,2:3,3:3
16	16	150000	44	1,2	1:1,2:3,3:3
17	17	200000	46	1,2	1:1,2:3,3:3
18	18	250000	46	1,2	1:1,2:3,3:3
19	19	300000	48	1,2	1:1,2:3,3:3
20	20	400000	50	1,2	1:1,2:4,3:3
