ID	社团人数实验室经验	精英人数实验室经验	社团人数实验室等级人数增加值	精英人数实验室等级人数增加值	钻石红包经验	金币红包经验	钻石红包总数量	钻石红包总金额	金币红包总数量	金币红包总金额
Id	PeopleLabExp	ElitePeopleLabExp	PeopleLabAdd	ElitePeopleLabAdd	DiamondRedBagExp	GoldRedBagExp	DiamondRedBagNum	DiamondRedBagSum	GoldRedBagNum	GoldRedBagSum
int	int	int	int	int	int	int	int	int	int	int
1	2000	4000	1	2	20000	10000	22	300	21	1500000
2	4000	8000	2	3	40000	20000	23	360	22	1700000
3	8000	12000	3	4	60000	30000	24	420	23	1900000
4	15000	16000	4	5	80000	40000	25	480	24	2100000
5	30000	20000	5	6	100000	50000	26	540	25	2300000
6	0	0	0	0	120000	60000	27	600	26	2500000
7	0	0	0	0	140000	70000	28	660	27	2700000
8	0	0	0	0	160000	80000	29	720	28	2900000
9	0	0	0	0	180000	90000	30	780	29	3100000
10	0	0	0	0	200000	100000	31	840	30	3300000
11	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0
