ID	食品ID	属性1编号	属性1值	属性2编号	属性2值	属性3编号	属性3值	属性4编号	属性4值	属性5编号	属性5值
Id	FoodsId	Quality1Id	Quality1Number	Quality2Id	Quality2Number	Quality3Id	Quality3Number	Quality4Id	Quality4Number	Quality5Id	Quality5Number
int	string	int	int	int	int	int	int	int	int	int	int
1000001	4060001,4060501,4061001	1	24	2	8	3	80	5	10	6	10
1000002	4060002,4060502,4061002	1	20	2	10	3	100	11	3	12	3
1000003	4060003,4060503,4061003	1	16	2	12	3	120	8	10	9	10
1000004	4060004,4060504,4061004	1	16	2	12	3	120	8	10	9	10
1000005	4060005,4060505,4061005	1	20	2	10	3	120	11	3	12	3
1000006	4060006,4060506,4061006	1	24	2	8	3	80	5	10	6	10
1000007	4060007,4060507,4061007	1	20	2	10	3	120	11	3	12	3
1000008	4060008,4060508,4061008	1	16	2	12	3	120	8	10	9	10
1000009	4060009,4060509,4061009	1	20	2	10	3	100	11	3	12	3
1000010	4060010,4060510,4061010	1	16	2	12	3	120	8	10	9	10
1000011	4060011,4060511,4061011	1	24	2	8	3	80	5	10	6	10
1000012	4060012,4060512,4061012	1	20	2	10	3	100	11	3	12	3
1000013	4060013,4060513,4061013	1	24	2	8	3	80	5	10	6	10
1000014	4060014,4060514,4061014	1	24	2	8	3	80	5	10	6	10
1000015	4060015,4060515,4061015	1	24	2	8	3	80	5	10	6	10
1000016	4060016,4060516,4061016	1	16	2	12	3	120	8	10	9	10
1000017	4060017,4060517,4061017	1	20	2	10	3	100	11	3	12	3
1000018	4060018,4060518,4061018	1	16	2	12	3	120	8	10	9	10
1000019	4060019,4060519,4061019	1	20	2	10	3	100	11	3	12	3
1000020	4060020,4060520,4061020	1	16	2	12	3	120	8	10	9	10
1000021	4060021,4060521,4061021	1	16	2	12	3	120	8	10	9	10
1000022	4060022,4060522,4061022	1	24	2	8	3	80	5	10	6	10
1000023	4060023,4060523,4061023	1	16	2	12	3	120	8	10	9	10
1000024	4060024,4060524,4061024	1	24	2	8	3	80	5	10	6	10
1000025	4060025,4060525,4061025	1	20	2	10	3	100	11	3	12	3
1000026	4060026,4060526,4061026	1	20	2	10	3	100	11	3	12	3
1000027	4060027,4060527,4061027	1	24	2	8	3	80	5	10	6	10
1000028	4060028,4060528,4061028	1	24	2	8	3	80	5	10	6	10
