地图ID	地图名称	开放时间描述	特殊规则描述	地图背景	地图路线	地图等级需求	地图类型	前置地图	地图开放时间	地图关卡起始ID	宝箱1星数	宝箱2星数	宝箱3星数	宝箱1	宝箱2	宝箱3
Id	MapNameId	OpenTimeDescription	RuleDescription	MapBG	MapWay	MapLevelNeed	MapType	BeforeMap	MapTime	StartStage	Chest1Star	Chest2Star	Chest3Star	Chest1	Chest2	Chest3
int	string	string	string	string	string	int	int	int	string	int	int	int	int	string	string	string
101	Map_MapNameId_1			stage_dt01	stage_xl01	1	1	0	0	10101	7	0	0	4070004:10,4020000:5,2:50,1:6000	0	0
102	Map_MapNameId_2			stage_dt01	stage_xl01	1	1	101	0	10201	8	16	24	4070028:1,4020000:5,2:10,1:8000	4070028:1,4020000:5,2:60,1:12000	4070028:1,4020000:5,2:60,1:12000
103	Map_MapNameId_3			stage_dt01	stage_xl01	1	1	102	0	10301	8	16	24	4070028:1,4020000:5,2:10,1:10000	4070028:1,4020000:10,2:30,1:16000	4070028:1,4020000:10,2:60,1:16000
104	Map_MapNameId_4			stage_dt01	stage_xl01	1	1	103	0	10401	8	16	24	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
105	Map_MapNameId_5			stage_dt01	stage_xl01	1	1	104	0	10501	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
106	Map_MapNameId_6			stage_dt01	stage_xl01	1	1	105	0	10601	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
107	Map_MapNameId_7			stage_dt01	stage_xl01	1	1	106	0	10701	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
108	Map_MapNameId_8			stage_dt01	stage_xl01	1	1	107	0	10801	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
109	Map_MapNameId_9			stage_dt01	stage_xl01	1	1	108	0	10901	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
110	Map_MapNameId_10			stage_dt01	stage_xl01	1	1	109	0	11001	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
111	Map_MapNameId_11			stage_dt01	stage_xl01	1	1	110	0	11101	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
112	Map_MapNameId_12			stage_dt01	stage_xl01	1	1	111	0	11201	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
113	Map_MapNameId_13			stage_dt01	stage_xl01	1	1	112	0	11301	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
114	Map_MapNameId_14			stage_dt01	stage_xl01	1	1	113	0	11401	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
115	Map_MapNameId_15			stage_dt01	stage_xl01	1	1	114	0	11501	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
116	Map_MapNameId_16			stage_dt01	stage_xl01	1	1	115	0	11601	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
117	Map_MapNameId_17			stage_dt01	stage_xl01	1	1	116	0	11701	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
118	Map_MapNameId_18			stage_dt01	stage_xl01	1	1	117	0	11801	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
119	Map_MapNameId_19			stage_dt01	stage_xl01	1	1	118	0	11901	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
120	Map_MapNameId_20			stage_dt01	stage_xl01	1	1	119	0	12001	10	20	30	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000	4070028:1,6:1,2:10,1:10000
