任务ID	是否启用	完成后继续显示	任务名称	任务内容描述	任务ICON	任务Icon品质框	跳转功能界面	跳转界面标签页	任务类型	任务小类型	任务开启等级	前置任务	后置任务	任务ID	任务完成类型	任务完成数量需求	任务奖励1	任务奖励1数量	任务奖励2	任务奖励2数量	任务奖励3	任务奖励3数量	任务奖励4	任务奖励4数量
Id	Enable	Display	TaskNameId	TaskDesId	TaskIcon	TaskQuality	SkipFuncUI	SkipUITab	TaskType	TaskSmallType	LevelNeed	BeforeTask	AfterTask	IdTmp	CompleteType	CompleteCondition	TaskReward1Id	TaskReward1Number	TaskReward2Id	TaskReward2Number	TaskReward3Id	TaskReward3Number	TaskReward4Id	TaskReward4Number
int	int	int	string	string	string	int	string	string	int	int	int	int	int	int	string	string	int	int	int	int	int	int	int	int
100	1	0	TaskNameId_100	TaskDesId_100	Icon_Tscl1_001	1	UIStagePanel	NormalTab	1	1	10	0	0	100	NewPve_DaliyAttackNormalTimes	10	4	150	1	8000	0	0	0	0
101	1	0	TaskNameId_101	TaskDesId_101	Icon_Tscl1_001	2	UIStagePanel	EliteTab	1	1	10	0	0	101	NewPve_DaliyAttackEliteNum	3	4	150	1	8000	0	0	0	0
102	0	0	TaskNameId_102	TaskDesId_102	Icon_Tscl1_002	5			1	1	15	0	0	102		3	4	60	1	12000	0	0	0	0
103	0	0	TaskNameId_103	TaskDesId_103	Icon_Tscl1_003	9			1	1	20	0	0	103		1	4	80	1	2000	0	0	0	0
104	0	0	TaskNameId_104	TaskDesId_104	Icon_Tscl1_004	14			1	2	1	0	0	104		3	4	120	1	10000	0	0	0	0
105	0	0	TaskNameId_105	TaskDesId_105	Icon_Tscl1_005	20			1	2	1	0	0	105		1	4	120	1	10000	0	0	0	0
106	0	0	TaskNameId_106	TaskDesId_106	Icon_Tscl1_006	1			1	2	1	0	0	106		1	4	60	1	6000	0	0	0	0
107	0	0	TaskNameId_107	TaskDesId_107	Icon_Tscl1_007	2			1	2	1	0	0	107		3	4	30	1	6000	0	0	0	0
108	0	0	TaskNameId_108	TaskDesId_108	Icon_Tscl1_008	5			1	1	1	0	0	108		1	4	30	1	6000	0	0	0	0
109	0	0	TaskNameId_109	TaskDesId_109	Icon_Tscl1_009	9			1	1	1	0	0	109		3	4	30	1	6000	0	0	0	0
110	0	0	TaskNameId_110	TaskDesId_110	Icon_Tscl1_001	14			1	1	1	0	0	110		300	4	100	1	50000	0	0	0	0
111	0	0	TaskNameId_111	TaskDesId_111	Icon_Tscl1_001	20			1	1	1	0	0	111		1	4	60	1	6000	0	0	0	0
112	1	1	TaskNameId_112	TaskDesId_112	Icon_Tscl1_002	1			1	1	1	0	0	112	MonthCard	250	2	100	0	0	0	0	0	0
113	1	1	TaskNameId_113	TaskDesId_113	Icon_Tscl1_003	2			1	1	1	0	0	113	MonthCard	880	2	100	0	0	0	0	0	0
114	1	0	TaskNameId_114	TaskDesId_114	Icon_Tscl1_004	5			1	2	1	0	0	114	GetEnergy	0	3	60	0	0	0	0	0	0
115	1	0	TaskNameId_115	TaskDesId_115	Icon_Tscl1_005	9			1	2	1	0	0	115	GetEnergy	0	3	60	0	0	0	0	0	0
116	1	0	TaskNameId_116	TaskDesId_116	Icon_Tscl1_006	14			1	2	1	0	0	116	GetEnergy	0	3	60	0	0	0	0	0	0
117	1	0	TaskNameId_117	TaskDesId_117	Icon_Tscl1_007	20			1	2	1	0	0	117	GetEnergy	0	3	60	0	0	0	0	0	0
200	0	0	TaskNameId_200	TaskDesId_200	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	0	201	200		10103	1	3000	4080001	5	0	0	0	0
201	0	0	TaskNameId_200	TaskDesId_201	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	200	202	201		10204	1	3000	4080001	5	0	0	0	0
202	0	0	TaskNameId_200	TaskDesId_202	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	201	203	202		10208	1	4000	4080002	5	0	0	0	0
203	0	0	TaskNameId_200	TaskDesId_203	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	202	204	203		10304	1	3000	4080001	5	0	0	0	0
204	0	0	TaskNameId_200	TaskDesId_204	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	203	205	204		10308	1	4000	4080002	5	0	0	0	0
205	0	0	TaskNameId_200	TaskDesId_205	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	204	206	205		10404	1	3000	4080001	5	0	0	0	0
206	0	0	TaskNameId_200	TaskDesId_206	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	205	207	206		10408	1	4000	4080002	5	0	0	0	0
207	0	0	TaskNameId_200	TaskDesId_207	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	206	208	207		10504	1	3000	4080001	5	4	100	0	0
208	0	0	TaskNameId_200	TaskDesId_208	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	207	209	208		10507	1	4000	4080002	5	0	0	0	0
209	0	0	TaskNameId_200	TaskDesId_209	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	208	210	209		10510	1	5000	4080003	5	0	0	0	0
210	0	0	TaskNameId_200	TaskDesId_210	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	209	211	210		10604	1	3000	4080001	5	0	0	0	0
211	0	0	TaskNameId_200	TaskDesId_211	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	210	212	211		10607	1	4000	4080002	5	0	0	0	0
212	0	0	TaskNameId_200	TaskDesId_212	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	211	213	212		10610	1	5000	4080003	5	0	0	0	0
213	0	0	TaskNameId_200	TaskDesId_213	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	212	214	213		10704	0	0	4080001	5	4	100	0	0
214	0	0	TaskNameId_200	TaskDesId_214	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	213	215	214		10707	1	4000	4080002	5	0	0	0	0
215	0	0	TaskNameId_200	TaskDesId_215	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	214	216	215		10710	1	5000	4080003	5	0	0	0	0
216	0	0	TaskNameId_200	TaskDesId_216	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	215	217	216		10804	1	3000	4080001	5	0	0	0	0
217	0	0	TaskNameId_200	TaskDesId_217	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	216	218	217		10807	1	4000	4080002	5	0	0	0	0
218	0	0	TaskNameId_200	TaskDesId_218	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	217	219	218		10810	1	5000	4080003	5	0	0	0	0
219	0	0	TaskNameId_200	TaskDesId_219	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	218	220	219		10904	0	0	4080001	5	4	100	0	0
220	0	0	TaskNameId_200	TaskDesId_220	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	219	221	220		10907	1	4000	4080002	5	0	0	0	0
221	0	0	TaskNameId_200	TaskDesId_221	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	220	222	221		10910	1	5000	4080003	5	0	0	0	0
222	0	0	TaskNameId_200	TaskDesId_222	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	221	223	222		11004	1	3000	4080001	5	0	0	0	0
223	0	0	TaskNameId_200	TaskDesId_223	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	222	224	223		11007	1	4000	4080002	5	0	0	0	0
224	0	0	TaskNameId_200	TaskDesId_224	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	223	225	224		11010	1	5000	4080003	5	0	0	0	0
225	0	0	TaskNameId_200	TaskDesId_225	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	224	226	225		11104	0	0	4080001	5	4	100	0	0
226	0	0	TaskNameId_200	TaskDesId_226	Icon_Tscl1_003	14	UIStagePanel	NormalTab	2	1	1	225	227	226		11107	1	4000	4080002	5	0	0	0	0
227	0	0	TaskNameId_200	TaskDesId_227	Icon_Tscl1_001	14	UIStagePanel	NormalTab	2	1	1	226	228	227		11110	1	5000	4080003	5	0	0	0	0
228	0	0	TaskNameId_200	TaskDesId_228	Icon_Tscl1_002	14	UIStagePanel	NormalTab	2	1	1	227	229	228		11204	1	3000	4080001	5	0	0	0	0
