BUFFID	BUFF名称	BUFF描述	BUFF特效	英文对照	特殊引用	影响属性编号
Id	BUFFNameId	BUFFExplainId	BUFFSpecial	English	SpecialIndex	BUFFProperty
int	string	string	string	string	int	int
1	BUFFNameId_1				0	0
2	BUFFNameId_2				0	0
3	BUFFNameId_3				0	0
4	BUFFNameId_4				0	0
5	BUFFNameId_5				0	0
6	BUFFNameId_6				0	0
7	BUFFNameId_7				0	0
8	BUFFNameId_8				0	0
9	BUFFNameId_9				0	0
10	BUFFNameId_10				0	0
11	BUFFNameId_11				0	0
12	BUFFNameId_12				0	0
13	BUFFNameId_13				0	0
14	BUFFNameId_14				0	0
15	BUFFNameId_15				0	1
16	BUFFNameId_16				0	2
17	BUFFNameId_17				0	11
18	BUFFNameId_18				0	12
19	BUFFNameId_19				0	0
20	BUFFNameId_20				0	0
21	BUFFNameId_21				0	0
22	BUFFNameId_22				0	0
23	BUFFNameId_23				0	0
24	BUFFNameId_24				0	0
25	BUFFNameId_25				0	0
100	BUFFNameId_100				0	1
101	BUFFNameId_101				0	2
102	BUFFNameId_102				0	3
103	BUFFNameId_103				0	5
104	BUFFNameId_104				0	6
105	BUFFNameId_105				0	7
106	BUFFNameId_106				0	8
107	BUFFNameId_107				0	9
108	BUFFNameId_108				0	10
109	BUFFNameId_109				0	11
110	BUFFNameId_110				0	12
111	BUFFNameId_111				0	13
112	BUFFNameId_112				0	14
113	BUFFNameId_113				0	15
114	BUFFNameId_114				0	16
115	BUFFNameId_115				0	17
116	BUFFNameId_116				0	23
117	BUFFNameId_117				0	24
118	BUFFNameId_118				0	25
119	BUFFNameId_119				0	26
200	BUFFNameId_200				0	1
201	BUFFNameId_201				0	2
202	BUFFNameId_202				0	3
203	BUFFNameId_203				0	5
204	BUFFNameId_204				0	6
205	BUFFNameId_205				0	7
206	BUFFNameId_206				0	8
207	BUFFNameId_207				0	9
208	BUFFNameId_208				0	10
209	BUFFNameId_209				0	11
210	BUFFNameId_210				0	12
211	BUFFNameId_211				0	13
212	BUFFNameId_212				0	14
213	BUFFNameId_213				0	15
214	BUFFNameId_214				0	16
215	BUFFNameId_215				0	17
216	BUFFNameId_216				0	23
217	BUFFNameId_217				0	24
218	BUFFNameId_218				0	25
219	BUFFNameId_219				0	26
