卡片ID	卡片名称	卡片类型	卡片初始星级	卡片资源编号	头像	宽头像	卡片形象	卡片定位描述	卡片品质等级	卡片性别	卡片资质	初始怒气	攻击怒气	被击怒气百分比	击杀怒气	攻击	防御	生命	先手值	攻击步长	防御步长	生命步长	攻击加成	防御加成	生命加成	伤害	免伤	暴击	抗暴	暴击强度	破档	格挡	格挡强度	治疗	吸血	反伤	控制率	免控	小技能释放概率	普攻	小技能	怒气技能	被动1	被动2	被动3	被动4	觉醒技能Id	技能觉醒影响技能位置类型	卡片缘分	卡片战魂	卡片碎片ID	初始星数	需求碎片数量	转化碎片数量	攻击比例	防御比例	生命比例	武器ID	衣服ID	裤子ID	鞋子ID	徽章ID	秘籍ID
Id	CardNameId	CardType	CardStar	CardResources	CardHead	CardWideHead	CardImage	CardExplainId	CardQualityLevel	CardSexy	CardAptitude	StartAnger	HitAnger	HitedAnger	KillAnger	Attack	Defense	HP	Speed	AttackStep	DefenseStep	HPStep	AttackPlus	DefensePlus	HPPlus	Damage	DamageOppose	Crit	CritOppose	CritDamage	BlockBreak	Block	BlockDamage	Cure	Suck	Thorns	Ctrl	FreeCtrl	SmallSkillRate	SkillAtt	SmallSkill	AngerSkill	Skill1	Skill2	Skill3	Skill4	AwakeSkillId	EffectSkillPos	CardYoke	CardWarSoul	CardPiece	StartStar	PieceNumber	ConvertNumber	AttackRate	DefenseRate	HPRate	WeaponId	ClothesId	TrousersId	ShoesId	BadgeId	CheatsId
int	string	int	int	int	string	string	string	string	int	int	int	int	int	int	int	int	int	int	int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int
1000001	Card_CardNameId_1001	1	1	1	head0001	widehead_0001	hero0001	CardExplainId_1000001	1	1	13	0	200	10000	300	184	59	740	0	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	0	0	0	600	300	400	0	0	400	0	0	10000	0	0	0	0	3300	1	10001	20001	30001	40001	50001	60001	70001	2	90011,90012,90013,90014,90015,90016	1001,2001,3001,4001	4070001	1	10	5	10000	10000	10000	2100001	2200001	2300001	2400001	3500001	3600001
1000002	Card_CardNameId_1002	3	3	2	head0002	widehead_0002	hero0002	CardExplainId_1000002	1	1	12	0	200	10000	300	103	48	505	0	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	0	0	0	100	0	0	0	0	250	0	0	10000	0	0	0	0	3300	2	10002	20002	30002	40002	50001	60001	70002	2	90021,90022,90023,90024,90025,90026	1002,2001,3001,4001	4070002	3	50	30	10000	10000	10000	2100002	2200003	2300003	2400003	3500002	3600002
1000003	Card_CardNameId_1003	2	4	3	head0003	widehead_0003	hero0003	CardExplainId_1000003	1	1	13	0	200	10000	300	113	89	795	0	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	0	0	0	0	500	400	0	0	0	500	0	10000	0	0	0	0	3300	3	10003	20003	30003	40003	50001	60001	40003	4	90031,90032,90033,90034,90035,90036	1003,2001,3001,4001	4070003	4	100	70	10000	10000	10000	2100003	2200002	2300002	2400002	3500003	3600003
1000004	Card_CardNameId_1004	2	1	4	head0004	widehead_0004	hero0004	CardExplainId_1000004	1	1	12	0	200	10000	300	76	59	530	0	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	0	0	0	0	0	0	100	0	0	0	0	10000	0	0	0	0	3300	4	10004	20004	30004	40004	50001	60001	70004	2	90041,90042,90043,90044,90045,90046	1003,2001,3001,4001	4070004	1	10	5	10000	10000	10000	2100004	2200002	2300002	2400002	3500004	3600003
1000005	Card_CardNameId_1005	3	1	5	head0005	widehead_0005	hero0005	CardExplainId_1000005	1	2	12	0	200	10000	300	102	49	500	0	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	0	0	0	15	115	200	0	0	0	600	0	10000	0	0	0	0	3300	5	10005	20005	30005	40005	50001	60001	70005	2	90051,90052,90053,90054,90055,90056	1001,2001,3001,4001	4070005	1	10	5	10000	10000	10000	2100005	2200003	2300003	2400003	3500005	3600004
1000006	Card_CardNameId_1006	1	4	6	head0006	widehead_0006	hero0006	CardExplainId_1000006	1	1	13	0	200	10000	300	176	62	750	0	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	0	0	0	300	0	400	0	0	400	0	0	10000	0	0	0	0	3300	6	10006	20006	30006	40006	50001	60001	70006	2	90061,90062,90063,90064,90065,90066	1004,2001,3001,4001	4070006	4	100	70	10000	10000	10000	2100006	2200001	2300001	2400001	3500004	3600003
1000007	Card_CardNameId_1007	3	4	7	head0007	widehead_0007	hero0007	CardExplainId_1000007	1	1	13	0	200	10000	300	153	73	755	0	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	0	0	0	300	300	400	400	0	0	0	0	10000	0	0	0	0	3300	7	10007	20007	30007	40007	50001	60001	70007	2	90071,90072,90073,90074,90075,90076	1002,2001,3001,4001	4070007	4	100	70	10000	10000	10000	2100007	2200003	2300003	2400003	3500002	3600002
1000008	Card_CardNameId_1008	2	4	8	head0008	widehead_0008	hero0008	CardExplainId_1000008	1	2	13	0	200	10000	300	123	79	845	0	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	Attack*0.02*(1+(CardQuality-1)*1+CardStar*2)	0	0	0	0	300	0	400	0	0	400	0	10000	0	0	0	0	3300	8	10008	20008	30008	40008	50001	60001	70008	2	90081,90082,90083,90084,90085,90086	1004,2001,3001,4001	4070008	4	100	70	10000	10000	10000	2100008	2200002	2300002	2400002	3500003	3600005
