技能ID	技能动画	技能名称	技能icon	技能描述	技能大类型	技能实际类型	技能范围	技能范围条件	技能范围值	技能系数	技能固定值	系数步长	固定值步长	BUFF触发点	BUFFID	BUFF实际类型	BUFF触发条件	BUFF触发值	BUFF概率	BUFF概率步长	BUFF范围	BUFF范围条件	BUFF范围值	BUFF回合	BUFF系数	BUFF固定值	BUFF系数步长	BUFF固定值步长
Id	AnimationResID	SkillNameId	Skillicon	SkillExplainId	SkillType	SkillEffectType	SkillRange	SkillRangeCondition	SkillRangeValue	SkillRate	SkillValue	RateStep	ValueStep	BUFFStartPoint	BUFFId	BuffEffectType	BUFFTriggerCondition	BUFFTriggerNumber	BUFFPro	BUFFProStep	BuffRange	BuffRangeCondition	BuffRangeValue	BUFFRound	BUFFRate	BUFFValue	BUFFRateStep	BUFFValueStep
int	int	string	string	string	int	int	int	int	int	int	int	int	int	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string
1	11001				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	11002				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	11003				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	11004				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	11005				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	11006				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	11007				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	11008				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	11009				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	11010				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	11011				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	11012				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	11013				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	11014				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	11015				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	11016				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	11017				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	11018				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	11019				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	11020				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	11021				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	11022				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	11023				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	11024				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	11025				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	11026				0	1	3	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
