ID	积分类型	品质	积分数量	奖励
Id	PointType	Quality	NeedPoints	Prize
int	int	int	int	int
1	2	6	100	20266
2	2	6	300	20267
3	2	6	600	20268
4	2	6	1000	20269
5	2	6	1500	20270
6	2	6	2000	20271
7	2	6	3000	20272
8	2	6	4000	20273
9	2	6	5000	20274
10	2	6	6000	20275
11	2	5	7000	20276
12	2	5	8000	20277
13	2	5	10000	20278
14	2	5	12000	20279
15	2	5	14000	20280
16	2	5	16000	20281
17	2	5	18000	20282
18	2	5	20000	20283
19	2	5	22000	20284
20	2	5	24000	20285
21	2	4	26000	20286
22	2	4	28000	20287
23	2	4	30000	20288
24	2	4	32000	20289
25	2	4	34000	20290
26	2	4	36000	20291
27	2	4	38000	20292
28	2	4	40000	20293
29	2	4	42000	20294
30	2	4	44000	20295
31	2	3	46000	20296
32	2	3	48000	20297
33	2	3	50000	20298
34	2	3	52000	20299
35	2	3	54000	20300
36	2	3	56000	20301
37	2	3	58000	20302
38	2	3	60000	20303
39	2	3	62000	20304
40	2	3	64000	20305
41	2	2	66000	20306
42	2	2	68000	20307
43	2	2	70000	20308
44	2	2	72000	20309
45	2	2	74000	20310
46	2	2	76000	20311
47	2	2	78000	20312
48	2	2	80000	20313
49	2	2	82000	20314
50	2	2	84000	20314
51	2	1	86000	20314
52	2	1	88000	20314
53	2	1	90000	20314
54	2	1	92000	20314
55	2	1	94000	20314
56	2	1	96000	20314
57	2	1	98000	20314
58	2	1	100000	20314
59	2	1	108000	20314
60	2	1	116000	20314
61	2	1	124000	20314
62	2	1	132000	20314
63	2	1	140000	20314
64	2	1	148000	20314
65	2	1	156000	20314
66	2	1	164000	20314
67	2	1	172000	20314
68	2	1	180000	20314
69	2	1	188000	20314
70	2	1	196000	20314
71	2	1	204000	20314
72	2	1	212000	20314
73	2	1	220000	20314
74	2	1	228000	20314
75	2	1	236000	20314
76	2	1	244000	20314
77	2	1	252000	20314
78	2	1	260000	20314
79	2	1	268000	20314
80	2	1	276000	20314
81	2	1	284000	20314
82	2	1	292000	20314
83	2	1	300000	20314
84	2	1	308000	20314
85	2	1	316000	20314
86	2	1	324000	20314
87	2	1	332000	20314
88	2	1	340000	20314
89	2	1	348000	20314
90	2	1	356000	20314
91	2	1	364000	20314
92	2	1	372000	20314
93	2	1	380000	20314
94	2	1	388000	20314
95	2	1	396000	20314
96	2	1	404000	20314
97	2	1	412000	20314
98	2	1	420000	20314
99	2	1	428000	20314
100	2	1	436000	20314
101	2	1	444000	20314
102	2	1	452000	20314
103	2	1	460000	20314
104	2	1	468000	20314
105	2	1	476000	20314
106	2	1	484000	20314
107	2	1	492000	20314
108	2	1	500000	20314
109	2	1	508000	20314
110	2	1	516000	20314
111	2	1	524000	20314
112	2	1	532000	20314
113	2	1	540000	20314
114	2	1	548000	20314
115	2	1	556000	20314
116	2	1	564000	20314
117	2	1	572000	20314
118	2	1	580000	20314
119	2	1	588000	20314
120	2	1	596000	20314
121	2	1	604000	20314
122	2	1	612000	20314
123	2	1	620000	20314
124	2	1	628000	20314
125	2	1	636000	20314
126	2	1	644000	20314
127	2	1	652000	20314
128	2	1	660000	20314
129	2	1	668000	20314
130	2	1	676000	20314
131	2	1	684000	20314
132	2	1	692000	20314
133	2	1	700000	20314
134	2	1	708000	20314
135	2	1	716000	20314
136	2	1	724000	20314
137	2	1	732000	20314
138	2	1	740000	20314
139	2	1	748000	20314
140	2	1	756000	20314
141	2	1	764000	20314
142	2	1	772000	20314
143	2	1	780000	20314
144	2	1	788000	20314
145	2	1	796000	20314
146	2	1	804000	20314
147	2	1	812000	20314
148	2	1	824000	20314
149	2	1	836000	20314
150	2	1	848000	20314
151	2	1	860000	20314
152	2	1	872000	20314
153	2	1	884000	20314
154	2	1	896000	20314
155	2	1	908000	20314
156	2	1	920000	20314
157	2	1	932000	20314
158	2	1	944000	20314
159	2	1	956000	20314
160	2	1	968000	20314
161	2	1	980000	20314
162	2	1	992000	20314
163	2	1	1004000	20314
164	2	1	1016000	20314
165	2	1	1028000	20314
166	2	1	1040000	20314
167	2	1	1052000	20314
168	2	1	1064000	20314
169	2	1	1076000	20314
170	2	1	1088000	20314
171	2	1	1100000	20314
172	2	1	1112000	20314
173	2	1	1124000	20314
174	2	1	1136000	20314
175	2	1	1148000	20314
176	2	1	1160000	20314
177	2	1	1172000	20314
178	2	1	1184000	20314
179	2	1	1196000	20314
180	2	1	1208000	20314
181	2	1	1220000	20314
182	2	1	1232000	20314
183	2	1	1244000	20314
184	2	1	1256000	20314
185	2	1	1268000	20314
186	2	1	1280000	20314
187	2	1	1292000	20314
188	2	1	1304000	20314
189	2	1	1316000	20314
190	2	1	1328000	20314
191	2	1	1340000	20314
192	2	1	1352000	20314
193	2	1	1364000	20314
194	2	1	1376000	20314
195	2	1	1388000	20314
196	2	1	1400000	20314
197	2	1	1412000	20314
198	2	1	1424000	20314
199	2	1	1436000	20314
200	2	1	1448000	20314
201	1	5	5000	20326
202	1	4	4000	20327
203	1	4	3000	20328
204	1	4	2000	20329
205	1	4	1500	20330
206	1	4	1000	20331
207	1	4	800	20332
208	1	3	600	20333
209	1	3	500	20334
210	1	3	400	20335
211	1	3	300	20336
212	1	3	200	20337
213	1	3	100	20338
214	1	2	70	20339
215	1	2	50	20340
216	1	2	40	20341
217	1	2	30	20342
218	1	2	20	20343
219	1	2	10	20344
220	1	1	6	20345
221	1	1	3	20346
222	1	1	1	20347
