关卡ID	关卡名称	关卡描述	关卡目标对话	关卡目标类型	关卡目标	关卡类型	所在地图ID	关卡需求等级	首次通关后是否再挑战	每天挑战次数	关卡战斗背景	关卡正常背景	前置关卡	首次掉落	活动掉落	关卡掉落	关卡宝箱	扫荡额外掉落	关卡开启时间	体力消耗	通关角色经验	通关卡片经验	通关金钱	保底金钱	保底经验	推荐战斗力	最大回合	关卡回合	1回合前排怪1	1回合前排怪2	1回合前排怪3	1回合后排1	1回合后排2	1回合后排3	2回合前排怪1	2回合前排怪2	2回合前排怪3	2回合后排1	2回合后排2	2回合后排3	3回合前排怪1	3回合前排怪2	3回合前排怪3	3回合后排1	3回合后排2	3回合后排3	掉落显示	怪物显示	关卡图标位置
Id	StageNameId	StageExplainId	StageTargetTalk	StageTargetType	StageTargetNumber	StageType	MapId	StageLv	IsFirst	DailyNumber	StageWarBG	StageNormalBG	BeforeStage	FirstDrop	ActivityDrop	StageDrop	StageChest	SweepDrop	StageStart	SpiritUse	StageRoleExp	StageCardExp	StageGold	LowestGold	LowestExp	RecFight	MaxRound	StageRound	Rd1Before1	Rd1Before2	Rd1Before3	Rd1After1	Rd1After2	Rd1After3	Rd2Before1	Rd2Before2	Rd2Before3	Rd2After1	Rd2After2	Rd2After3	Rd3Before1	Rd3Before2	Rd3Before3	Rd3After1	Rd3After2	Rd3After3	DropShow	MonsterBoss	StageIconPos
int	string	string	string	string	string	int	int	int	int	int	string	string	string	string	string	string	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	string
10101	Stage_StageNameId_10101	Stage_StageExplainId_10101	Stage_StageTargetTalk_2000	1,4	10,0	2	101	1	0	0	battle01	stage_xqnm03	0	0	0	40000,50101,50100	0	60100	0	6	6	25	600	0	0	300	20	2	0	1000	0	1000	0	1000	0	1006	0	0	0	0	0	0	0	0	0	0	4020000,4020001	1000,1006	-357,130
10102	Stage_StageNameId_10102	Stage_StageExplainId_10102	Stage_StageTargetTalk_2001	1,4	10,0	2	101	1	0	0	battle01	stage_xqnm03	10101	0	0	40000,50102,50100	0	60100	0	6	6	25	607	0	0	400	20	2	0	1001	0	1001	0	1001	0	1007	0	0	0	0	0	0	0	0	0	0	4020000,4020002	1001,1007	80,-125
10103	Stage_StageNameId_10103	Stage_StageExplainId_10103	Stage_StageTargetTalk_2002	1,4	10,0	3	101	1	0	0	battle01	stage_xqnm03	10102	0	0	40000,50103,50100	0	60100	0	6	6	25	613	0	0	500	20	2	0	1000	0	1000	0	1000	1006	0	1008	0	1009	0	0	0	0	0	0	0	4020000,4020003	1000,1006	336,145
10201	Stage_StageNameId_10104	Stage_StageExplainId_10104	Stage_StageTargetTalk_2003	1,4	10,0	1	102	1	0	0	battle06	stage_xqnm03	10103	0	0	40000,50200	0	60200	0	6	6	30	619	0	0	600	20	2	1010	1010	1010	0	1010	0	0	1010	0	0	0	0	0	0	0	0	0	0	4020000	1010,1010	-95,-195
10202	Stage_StageNameId_10105	Stage_StageExplainId_10105	Stage_StageTargetTalk_2004	1,4	10,0	2	102	1	0	0	battle06	stage_xqnm03	10201	0	0	40000,50202,50200	2:20,4020000:5,1:12000	60200	0	6	6	30	625	0	0	700	20	2	1011	1011	1011	0	1011	0	0	1016	0	0	0	0	0	0	0	0	0	0	4020000	1011,1016	-455,-50
10203	Stage_StageNameId_10106	Stage_StageExplainId_10106	Stage_StageTargetTalk_2005	1,4	10,0	2	102	1	0	0	battle06	stage_xqnm03	10202	0	0	40000,50203,50200	2:10,4020001:1,4020002:1,4020003:1	60200	0	6	6	30	631	0	0	800	20	2	0	1012	0	1012	0	1012	0	1017	0	1012	0	1012	0	0	0	0	0	0	4020000,4020001	1012,1017	-357,130
10204	Stage_StageNameId_10107	Stage_StageExplainId_10107	Stage_StageTargetTalk_2006	1,4	10,0	2	102	1	0	0	battle06	stage_xqnm03	10203	0	0	40000,50203,50200	0	60200	0	6	6	30	637	0	0	900	20	2	0	1012	0	0	1012	0	0	1018	0	0	0	0	0	0	0	0	0	0	4020000,4020001	1012,1018	-156,93
10205	Stage_StageNameId_10108	Stage_StageExplainId_10108	Stage_StageTargetTalk_2007	1,4	10,0	1	102	1	0	0	battle06	stage_xqnm03	10204	0	0	40000,50205,50200	2:10,4020001:1,4020002:1,4020003:1	60200	0	6	6	30	643	0	0	1000	20	2	1019	0	1019	1019	0	1019	1019	1019	1019	0	1025	0	0	0	0	0	0	0	4020000,4020002	1019,1019	-48,-25
10206	Stage_StageNameId_10109	Stage_StageExplainId_10109	Stage_StageTargetTalk_2008	1,4	10,0	2	102	1	0	0	battle06	stage_xqnm03	10205	0	0	40000,50205,50200	0	60200	0	6	6	30	649	0	0	1100	20	2	0	1020	0	0	1020	0	0	1026	0	0	0	0	0	0	0	0	0	0	4020000,4020002	1020,1026	80,-125
10207	Stage_StageNameId_10110	Stage_StageExplainId_10110	Stage_StageTargetTalk_2009	1,4	10,0	2	102	1	0	0	battle06	stage_xqnm03	10206	0	0	40000,50207,50200	2:10,4020001:1,4020002:1,4020003:1	60200	0	6	6	30	655	0	0	1200	20	2	1020	0	1020	0	1020	1020	1020	0	1020	0	1027	0	0	0	0	0	0	0	4020000,4020003	1020,1020	56,157
10208	Stage_StageNameId_10111	Stage_StageExplainId_10111	Stage_StageTargetTalk_2000	1,4	10,0	3	102	1	0	0	battle06	stage_xqnm03	10207	0	0	40000,50207,50200	0	60200	0	6	6	30	661	0	0	1300	20	2	1021	1021	1021	1021	1021	1021	0	1028	0	0	0	0	0	0	0	0	0	0	4020000,4020003	1021,1028	336,145
10301	Stage_StageNameId_10112	Stage_StageExplainId_10112	Stage_StageTargetTalk_2001	1,4	10,0	1	103	1	0	0	battle03	stage_xqnm03	10208	0	0	40000,50300	0	60300	0	6	6	35	667	0	0	1400	20	2	0	1029	0	1029	1029	1029	0	1029	0	1029	0	1029	0	0	0	0	0	0	4020000	1029,1029	-95,-195
