ID	商店类型	等级范围	物品位置	可以购买的次数	货币类型	物品库	折扣
Id	ShopType	Level	GoodsPos	CanBuyTimes	CoinType	GoodsLibrary	Discount
int	int	string	int	int	int	int	string
1	1	0:10	11	1	1	20101	
2	1	11:100	21	1	2	20105	
3	1	11:100	31	1	1	20103	
4	2	1:105	10	1	2	20248	
5	2	1:105	30	1	1	20249	
6	2	1:105	50	1	2	20250	
7	2	1:105	70	1	2	20251	
8	2	1:105	90	1	2	20252	
9	2	1:105	110	1	1	20253	
10	2	1:105	130	1	1	20253	
11	2	1:105	150	1	1	20253	
12	2	1:105	170	1	1	20253	
13	2	1:105	190	1	1	20253	
14	2	1:105	210	1	1	20253	
15	2	1:105	230	1	1	20253	
16	3	1:105	10	1	9	20201	
17	3	1:105	30	1	9	20202	
18	3	1:105	50	1	9	20203	
19	3	1:105	70	1	9	20204	
20	3	1:105	90	1	9	20205	
21	3	1:105	110	1	9	20206	
22	3	1:105	130	1	9	20207	
23	3	1:105	150	1	9	20208	
24	3	1:105	170	1	9	20209	
25	3	1:105	190	1	9	20210	
26	3	1:105	210	1	9	20211	
27	3	1:105	230	1	9	20212	
28	3	1:105	250	1	9	20213	
29	3	1:105	270	1	9	20214	
30	3	1:105	290	1	9	20215	
31	3	1:105	310	1	9	20216	
32	3	1:105	330	1	9	20217	
33	3	1:105	350	1	9	20218	
34	3	1:105	370	1	9	20219	
35	4	1:105	10	1	7	20220	
36	4	1:105	30	1	7	20221	
37	4	1:105	50	1	7	20222	
38	4	1:105	70	1	7	20223	
39	4	1:105	90	1	7	20224	
40	4	1:105	110	1	7	20225	
41	4	1:105	130	1	7	20226	
42	4	1:105	150	1	7	20227	
43	4	1:105	170	1	7	20228	
44	4	1:105	190	1	7	20229	
45	4	1:105	210	1	7	20230	
46	4	1:105	230	1	7	20231	
47	4	1:105	250	1	7	20232	
48	4	1:105	270	1	7	20233	
49	4	1:105	290	1	7	20234	
50	4	1:105	310	1	7	20235	
51	4	1:105	330	1	7	20236	
52	4	1:105	350	1	7	20237	
53	5	1:105	10	1	10	20238	
54	5	1:105	30	1	10	20239	
55	5	1:105	50	1	10	20240	
56	5	1:105	70	1	10	20241	
57	5	1:105	90	1	10	20242	
58	5	1:105	110	1	10	20243	
59	5	1:105	130	1	10	20244	
60	5	1:105	150	1	10	20245	
61	5	1:105	170	1	10	20245	
62	5	1:105	190	1	10	20245	
63	5	1:105	210	1	10	20245	
64	5	1:105	230	1	10	20246	
65	5	1:105	250	1	10	20246	
66	5	1:105	270	1	10	20247	
67	6	1:105	10	100000	18	20407	
68	6	1:105	30	100000	18	20408	
69	6	1:105	50	100000	18	20409	
70	6	1:105	70	100000	18	20410	
71	6	1:105	90	100000	18	20411	
72	6	1:105	110	100000	18	20412	
73	6	1:105	130	100000	18	20413	
74	6	1:105	150	100000	18	20414	
75	6	1:105	170	100000	18	20415	
76	6	1:105	190	100000	18	20416	
77	6	1:105	210	100000	18	20417	
78	6	1:105	230	100000	18	20418	
79	6	1:105	250	100000	18	20419	
80	6	1:105	270	100000	18	20420	
81	6	1:105	290	100000	18	20421	
82	6	1:105	310	100000	18	20422	
83	6	1:105	330	100000	18	20423	
84	6	1:105	350	100000	18	20424	
85	6	1:105	370	100000	18	20425	
86	6	1:105	390	100000	18	20426	
87	6	1:105	410	100000	18	20427	
88	6	1:105	430	100000	18	20428	
89	6	1:105	450	100000	18	20429	
90	6	1:105	470	100000	18	20430	
