ID	月份	签到天数	是否双倍	双倍需要VIP等级	奖品ID数量
Id	Month	SignDay	IsDouble	VIPLv	RewardIdAndCount
int	int	int	int	int	string
1	4	1	1	1	1:30000
2	4	2	0	0	2:35
3	4	3	1	2	4100007:1
4	4	4	0	0	4080004:15
5	4	5	1	3	4070001:5
6	4	6	1	3	1:35000
7	4	7	0	0	2:40
8	4	8	1	4	4100007:1
9	4	9	0	0	4080004:15
10	4	10	1	4	4070001:5
11	4	11	1	5	1:40000
12	4	12	0	0	2:45
13	4	13	1	6	4100007:1
14	4	14	0	0	4080004:15
15	4	15	1	7	4070001:5
16	4	16	1	8	1:45000
17	4	17	0	0	2:50
18	4	18	1	9	4100007:1
19	4	19	0	0	4080004:15
20	4	20	1	10	4070001:5
21	4	21	1	10	1:50000
22	4	22	0	0	2:60
23	4	23	1	11	4100007:1
24	4	24	0	0	4080004:15
25	4	25	1	12	4070001:5
26	4	26	1	13	1:50000
27	4	27	0	0	2:70
28	4	28	1	14	4100007:1
29	4	29	0	0	4080004:15
30	4	30	1	15	4070001:5
31	8	1	1	1	1:30000
32	8	2	0	0	2:35
33	8	3	1	2	4100007:1
34	8	4	0	0	4080004:15
35	8	5	1	3	4070001:5
36	8	6	1	3	1:35000
37	8	7	0	0	2:40
38	8	8	1	4	4100007:1
39	8	9	0	0	4080004:15
40	8	10	1	4	4070001:5
41	8	11	1	5	1:40000
42	8	12	0	0	2:45
43	8	13	1	6	4100007:1
44	8	14	0	0	4080004:15
45	8	15	1	7	4070001:5
46	8	16	1	8	1:45000
47	8	17	0	0	2:50
48	8	18	1	9	4100007:1
49	8	19	0	0	4080004:15
50	8	20	1	10	4070001:5
51	8	21	1	10	1:50000
52	8	22	0	0	2:60
53	8	23	1	11	4100007:1
54	8	24	0	0	4080004:15
55	8	25	1	12	4070001:5
56	8	26	1	13	1:50000
57	8	27	0	0	2:70
58	8	28	1	14	4100007:1
59	8	29	0	0	4080004:15
60	8	30	1	15	4070001:5
61	8	31	1	15	1:50000
62	9	1	1	1	1:30000
63	9	2	0	0	2:35
64	9	3	1	2	4100007:1
65	9	4	0	0	4080004:15
66	9	5	1	3	4070002:5
67	9	6	1	3	1:35000
68	9	7	0	0	2:40
69	9	8	1	4	4100007:1
70	9	9	0	0	4080004:15
71	9	10	1	4	4070002:5
72	9	11	1	5	1:40000
73	9	12	0	0	2:45
74	9	13	1	6	4100007:1
75	9	14	0	0	4080004:15
76	9	15	1	7	4070002:5
77	9	16	1	8	1:45000
78	9	17	0	0	2:50
79	9	18	1	9	4100007:1
80	9	19	0	0	4080004:15
81	9	20	1	10	4070002:5
82	9	21	1	10	1:50000
83	9	22	0	0	2:60
84	9	23	1	11	4100007:1
85	9	24	0	0	4080004:15
86	9	25	1	12	4070002:5
87	9	26	1	13	1:50000
88	9	27	0	0	2:70
89	9	28	1	14	4100007:1
90	9	29	0	0	4080004:15
91	9	30	1	15	4070002:5
92	10	1	1	1	1:30000
93	10	2	0	0	2:35
94	10	3	1	2	4100007:1
95	10	4	0	0	4080004:15
96	10	5	1	3	4070001:5
97	10	6	1	3	1:35000
98	10	7	0	0	2:40
99	10	8	1	4	4100007:1
100	10	9	0	0	4080004:15
101	10	10	1	4	4070001:5
102	10	11	1	5	1:40000
103	10	12	0	0	2:45
104	10	13	1	6	4100007:1
105	10	14	0	0	4080004:15
106	10	15	1	7	4070001:5
107	10	16	1	8	1:45000
108	10	17	0	0	2:50
109	10	18	1	9	4100007:1
110	10	19	0	0	4080004:15
111	10	20	1	10	4070001:5
112	10	21	1	10	1:50000
113	10	22	0	0	2:60
114	10	23	1	11	4100007:1
115	10	24	0	0	4080004:15
116	10	25	1	12	4070001:5
117	10	26	1	13	1:50000
118	10	27	0	0	2:70
119	10	28	1	14	4100007:1
120	10	29	0	0	4080004:15
121	10	30	1	15	4070001:5
122	10	31	1	15	1:50000
123	11	1	1	1	1:30000
124	11	2	0	0	2:35
125	11	3	1	2	4100007:1
126	11	4	0	0	4080004:15
127	11	5	1	3	4070002:5
128	11	6	1	3	1:35000
129	11	7	0	0	2:40
130	11	8	1	4	4100007:1
131	11	9	0	0	4080004:15
132	11	10	1	4	4070002:5
133	11	11	1	5	1:40000
134	11	12	0	0	2:45
135	11	13	1	6	4100007:1
136	11	14	0	0	4080004:15
137	11	15	1	7	4070002:5
138	11	16	1	8	1:45000
139	11	17	0	0	2:50
140	11	18	1	9	4100007:1
141	11	19	0	0	4080004:15
142	11	20	1	10	4070002:5
143	11	21	1	10	1:50000
144	11	22	0	0	2:60
145	11	23	1	11	4100007:1
146	11	24	0	0	4080004:15
147	11	25	1	12	4070002:5
148	11	26	1	13	1:50000
149	11	27	0	0	2:70
150	11	28	1	14	4100007:1
151	11	29	0	0	4080004:15
152	11	30	1	15	4070002:5
153	12	1	1	1	1:30000
154	12	2	0	0	2:35
155	12	3	1	2	4100007:1
156	12	4	0	0	4080004:15
157	12	5	1	3	4070001:5
158	12	6	1	3	1:35000
159	12	7	0	0	2:40
160	12	8	1	4	4100007:1
161	12	9	0	0	4080004:15
162	12	10	1	4	4070001:5
163	12	11	1	5	1:40000
164	12	12	0	0	2:45
165	12	13	1	6	4100007:1
166	12	14	0	0	4080004:15
167	12	15	1	7	4070001:5
168	12	16	1	8	1:45000
169	12	17	0	0	2:50
170	12	18	1	9	4100007:1
171	12	19	0	0	4080004:15
172	12	20	1	10	4070001:5
173	12	21	1	10	1:50000
174	12	22	0	0	2:60
175	12	23	1	11	4100007:1
176	12	24	0	0	4080004:15
177	12	25	1	12	4070001:5
178	12	26	1	13	1:50000
179	12	27	0	0	2:70
180	12	28	1	14	4100007:1
181	12	29	0	0	4080004:15
182	12	30	1	15	4070001:5
183	12	31	1	15	1:50000
184	1	1	1	1	1:30000
185	1	2	0	0	2:35
186	1	3	1	2	4100007:1
187	1	4	0	0	4080004:15
188	1	5	1	3	4070002:5
189	1	6	1	3	1:35000
190	1	7	0	0	2:40
191	1	8	1	4	4100007:1
192	1	9	0	0	4080004:15
193	1	10	1	4	4070002:5
194	1	11	1	5	1:40000
195	1	12	0	0	2:45
196	1	13	1	6	4100007:1
197	1	14	0	0	4080004:15
198	1	15	1	7	4070002:5
199	1	16	1	8	1:45000
200	1	17	0	0	2:50
201	1	18	1	9	4100007:1
202	1	19	0	0	4080004:15
203	1	20	1	10	4070002:5
204	1	21	1	10	1:50000
