天赋ID	天赋ID	天赋名称	天赋描述	天赋ICON	需要战队等级	前置天赋ID	后置天赋ID	影响玩法类型	天赋等级	所在天赋树ID	天赋类型	天赋范围	天赋范围条件	属性编号	属性值	金币消耗	天赋点消耗
Id	TalentId	TalentNameId	TalentExplainId	TalentIcon	NeedCorpsLv	BeforeTalent	AfterId	PlayType	TalentLv	TalentTreeId	TalentType	TalentRange	TalentRangeCondition	QualityId	QualityNumber	GoldUse	TalentPointUse
int	int	string	string	string	int	int	int	string	int	int	string	string	string	string	string	int	int
400101	400010	TalentNameId_400010	TalentExplainId_400010	TalentIcon_400010	0	0	400102	1	1	1	1	5,6	0,0	3,1	80,10	5000	2
400102	400010	TalentNameId_400010	TalentExplainId_400010	TalentIcon_400010	0	400101	400103	1	2	1	1	5,6	0,0	3,1	160,20	10000	2
400103	400010	TalentNameId_400010	TalentExplainId_400010	TalentIcon_400010	0	400102	400104	1	3	1	1	5,6	0,0	3,1	240,30	20000	2
400104	400010	TalentNameId_400010	TalentExplainId_400010	TalentIcon_400010	0	400103	400105	1	4	1	1	5,6	0,0	3,1	320,40	30000	3
400105	400010	TalentNameId_400010	TalentExplainId_400010	TalentIcon_400010	0	400104	400106	1	5	1	1	5,6	0,0	3,1	400,50	30000	3
400106	400010	TalentNameId_400010	TalentExplainId_400010	TalentIcon_400010	0	400105	400107	1	6	1	1	5,6	0,0	3,1	480,60	40000	4
400107	400010	TalentNameId_400010	TalentExplainId_400010	TalentIcon_400010	0	400106	400108	1	7	1	1	5,6	0,0	3,1	560,70	40000	4
400108	400010	TalentNameId_400010	TalentExplainId_400010	TalentIcon_400010	0	400107	400109	1	8	1	1	5,6	0,0	3,1	640,80	60000	5
400109	400010	TalentNameId_400010	TalentExplainId_400010	TalentIcon_400010	0	400108	400110	1	9	1	1	5,6	0,0	3,1	720,90	80000	5
400110	400010	TalentNameId_400010	TalentExplainId_400010	TalentIcon_400010	0	400109	0	1	10	1	1	5,6	0,0	3,1	800,100	100000	6
400201	400020	TalentNameId_400020	TalentExplainId_400020	TalentIcon_400020	25	400107	400202	1	1	1	1	5	0	3	80	5000	2
400202	400020	TalentNameId_400020	TalentExplainId_400020	TalentIcon_400020	25	400201	400203	1	2	1	1	5	0	3	160	10000	2
400203	400020	TalentNameId_400020	TalentExplainId_400020	TalentIcon_400020	25	400202	400204	1	3	1	1	5	0	3	240	20000	2
400204	400020	TalentNameId_400020	TalentExplainId_400020	TalentIcon_400020	25	400203	400205	1	4	1	1	5	0	3	320	30000	3
400205	400020	TalentNameId_400020	TalentExplainId_400020	TalentIcon_400020	25	400204	400206	1	5	1	1	5	0	3	400	30000	3
400206	400020	TalentNameId_400020	TalentExplainId_400020	TalentIcon_400020	25	400205	400207	1	6	1	1	5	0	3	480	40000	4
400207	400020	TalentNameId_400020	TalentExplainId_400020	TalentIcon_400020	25	400206	400208	1	7	1	1	5	0	3	560	40000	4
400208	400020	TalentNameId_400020	TalentExplainId_400020	TalentIcon_400020	25	400207	400209	1	8	1	1	5	0	3	640	60000	5
400209	400020	TalentNameId_400020	TalentExplainId_400020	TalentIcon_400020	25	400208	400210	1	9	1	1	5	0	3	720	80000	5
400210	400020	TalentNameId_400020	TalentExplainId_400020	TalentIcon_400020	25	400209	0	1	10	1	1	5	0	3	800	100000	6
400301	400030	TalentNameId_400030	TalentExplainId_400030	TalentIcon_400030	33	400207	400302	1	1	1	1	5	0	25	200	5000	2
400302	400030	TalentNameId_400030	TalentExplainId_400030	TalentIcon_400030	33	400301	400303	1	2	1	1	5	0	25	400	10000	2
400303	400030	TalentNameId_400030	TalentExplainId_400030	TalentIcon_400030	33	400302	400304	1	3	1	1	5	0	25	600	20000	2
400304	400030	TalentNameId_400030	TalentExplainId_400030	TalentIcon_400030	33	400303	400305	1	4	1	1	5	0	25	800	30000	3
400305	400030	TalentNameId_400030	TalentExplainId_400030	TalentIcon_400030	33	400304	400306	1	5	1	1	5	0	25	1000	30000	3
400306	400030	TalentNameId_400030	TalentExplainId_400030	TalentIcon_400030	33	400305	400307	1	6	1	1	5	0	25	1200	40000	4
400307	400030	TalentNameId_400030	TalentExplainId_400030	TalentIcon_400030	33	400306	400308	1	7	1	1	5	0	25	1400	40000	4
400308	400030	TalentNameId_400030	TalentExplainId_400030	TalentIcon_400030	33	400307	400309	1	8	1	1	5	0	25	1600	60000	5
400309	400030	TalentNameId_400030	TalentExplainId_400030	TalentIcon_400030	33	400308	400310	1	9	1	1	5	0	25	1800	80000	5
400310	400030	TalentNameId_400030	TalentExplainId_400030	TalentIcon_400030	33	400309	0	1	10	1	1	5	0	25	2000	100000	6
400401	400040	TalentNameId_400040	TalentExplainId_400040	TalentIcon_400040	40	400307	400402	1	1	1	1	5	0	12	100	5000	2
400402	400040	TalentNameId_400040	TalentExplainId_400040	TalentIcon_400040	40	400401	400403	1	2	1	1	5	0	12	200	10000	2
400403	400040	TalentNameId_400040	TalentExplainId_400040	TalentIcon_400040	40	400402	400404	1	3	1	1	5	0	12	300	20000	2
400404	400040	TalentNameId_400040	TalentExplainId_400040	TalentIcon_400040	40	400403	400405	1	4	1	1	5	0	12	400	30000	3
400405	400040	TalentNameId_400040	TalentExplainId_400040	TalentIcon_400040	40	400404	400406	1	5	1	1	5	0	12	500	30000	3
400406	400040	TalentNameId_400040	TalentExplainId_400040	TalentIcon_400040	40	400405	400407	1	6	1	1	5	0	12	600	40000	4
400407	400040	TalentNameId_400040	TalentExplainId_400040	TalentIcon_400040	40	400406	400408	1	7	1	1	5	0	12	700	40000	4
400408	400040	TalentNameId_400040	TalentExplainId_400040	TalentIcon_400040	40	400407	400409	1	8	1	1	5	0	12	800	60000	5
400409	400040	TalentNameId_400040	TalentExplainId_400040	TalentIcon_400040	40	400408	400410	1	9	1	1	5	0	12	900	80000	5
400410	400040	TalentNameId_400040	TalentExplainId_400040	TalentIcon_400040	40	400409	0	1	10	1	1	5	0	12	1000	100000	6
400501	400050	TalentNameId_400050	TalentExplainId_400050	TalentIcon_400050	25	400107	400502	1	1	1	1	6	0	1	20	5000	2
400502	400050	TalentNameId_400050	TalentExplainId_400050	TalentIcon_400050	25	400501	400503	1	2	1	1	6	0	1	40	10000	2
400503	400050	TalentNameId_400050	TalentExplainId_400050	TalentIcon_400050	25	400502	400504	1	3	1	1	6	0	1	60	20000	2
400504	400050	TalentNameId_400050	TalentExplainId_400050	TalentIcon_400050	25	400503	400505	1	4	1	1	6	0	1	80	30000	3
400505	400050	TalentNameId_400050	TalentExplainId_400050	TalentIcon_400050	25	400504	400506	1	5	1	1	6	0	1	100	30000	3
400506	400050	TalentNameId_400050	TalentExplainId_400050	TalentIcon_400050	25	400505	400507	1	6	1	1	6	0	1	120	40000	4
400507	400050	TalentNameId_400050	TalentExplainId_400050	TalentIcon_400050	25	400506	400508	1	7	1	1	6	0	1	140	40000	4
400508	400050	TalentNameId_400050	TalentExplainId_400050	TalentIcon_400050	25	400507	400509	1	8	1	1	6	0	1	160	60000	5
400509	400050	TalentNameId_400050	TalentExplainId_400050	TalentIcon_400050	25	400508	400510	1	9	1	1	6	0	1	180	80000	5
400510	400050	TalentNameId_400050	TalentExplainId_400050	TalentIcon_400050	25	400509	0	1	10	1	1	6	0	1	200	100000	6
400601	400060	TalentNameId_400060	TalentExplainId_400060	TalentIcon_400060	33	400507	400602	1	1	1	1	6	0	23	200	5000	2
400602	400060	TalentNameId_400060	TalentExplainId_400060	TalentIcon_400060	33	400601	400603	1	2	1	1	6	0	23	400	10000	2
400603	400060	TalentNameId_400060	TalentExplainId_400060	TalentIcon_400060	33	400602	400604	1	3	1	1	6	0	23	600	20000	2
400604	400060	TalentNameId_400060	TalentExplainId_400060	TalentIcon_400060	33	400603	400605	1	4	1	1	6	0	23	800	30000	3
400605	400060	TalentNameId_400060	TalentExplainId_400060	TalentIcon_400060	33	400604	400606	1	5	1	1	6	0	23	1000	30000	3
400606	400060	TalentNameId_400060	TalentExplainId_400060	TalentIcon_400060	33	400605	400607	1	6	1	1	6	0	23	1200	40000	4
400607	400060	TalentNameId_400060	TalentExplainId_400060	TalentIcon_400060	33	400606	400608	1	7	1	1	6	0	23	1400	40000	4
400608	400060	TalentNameId_400060	TalentExplainId_400060	TalentIcon_400060	33	400607	400609	1	8	1	1	6	0	23	1600	60000	5
400609	400060	TalentNameId_400060	TalentExplainId_400060	TalentIcon_400060	33	400608	400610	1	9	1	1	6	0	23	1800	80000	5
400610	400060	TalentNameId_400060	TalentExplainId_400060	TalentIcon_400060	33	400609	0	1	10	1	1	6	0	23	2000	100000	6
