VIPID	VIP等级	VIP经验自增	VIP经验	VIP钻石	VIP背景	VIP描述	购买体力	精英关卡重置次数	技能点购买次数	技能点回复时间	竞技场跳过战斗	十连扫	五十连扫	竞技场积分战败同样+2	终极试练跳过战斗	终极试炼特权扫层	终极试练积分	竞技场冷却	金币副本冷却时间	神秘商店刷新次数	VIP礼包原价	VIP礼包价格	VIP礼包内容
VIPId	VIPLv	VIPExpAdd	VIPExp	VIPDiamond	VIPBG	VIPExplain	SpiritShop	StageReset	BuySkillPointTimes	SkillReply	JJCSkip	TenSweep	FiftySweep	JJCFail	FinalSkip	FinalSweepFloor	FinalIntegral	JJCCool	GoldStageCool	SecretShop	VIPPackageOriginal	VIPPackagePrice	VIPPackage
int	int	int	int	int	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
1	0	60	60	60			2	0	5	300	0	0	0	0	0	0	10000	300	600	1	0	0	0
2	1	240	300	300		VIPExplain_1	3	1	6	300	0	0	0	0	0	0	10000	300	600	1	2880	0	4070026:50,3:100,4080002:50,1:100000
3	2	300	600	600		VIPExplain_2	4	2	7	300	0	0	0	0	1	0	10000	300	600	1	2880	180	4100007:3,4080002:50,1:100000
4	3	400	1000	1000		VIPExplain_3	5	2	8	60	0	0	0	0	1	1	10000	300	600	1	3880	280	4100004:2,4080003:30,1:100000
5	4	1000	2000	2000		VIPExplain_4	6	2	9	60	0	1	0	0	1	1	10000	300	600	1	4880	480	4011010:1,4080003:30,1:100000
6	5	1000	3000	3000		VIPExplain_5	7	3	10	60	1	1	0	0	1	1	10000	300	600	1	6880	680	4070026:50,4080003:30,1:100000
7	6	2000	5000	5000		VIPExplain_6	8	3	11	60	1	1	1	1	1	1	10000	300	600	1	8880	880	4011001:1,4080003:30,1:100000
8	7	2000	7000	7000		VIPExplain_7	9	3	12	60	1	1	1	1	1	1	11000	300	600	1	12880	1280	4070026:100,4080003:30,1:100000
9	8	3000	10000	10000		VIPExplain_8	10	3	13	60	1	1	1	1	1	1	11000	120	600	1	16880	1680	4011007:1,4080004:20,1:150000
10	9	5000	15000	15000		VIPExplain_9	11	3	14	5	1	1	1	1	1	1	11000	120	600	1	20000	2280	4070026:150,4110203:20,1:150000
11	10	5000	20000	20000		VIPExplain_10	12	4	15	5	1	1	1	1	1	1	11000	120	600	1	30000	2680	4010026:1,4110203:20,1:150000
12	11	10000	30000	30000		VIPExplain_11	13	4	16	5	1	1	1	1	1	1	11000	120	60	1	40000	3380	2:8880,4110203:40,1:200000
13	12	30000	60000	60000		VIPExplain_12	14	4	17	5	1	1	1	1	1	1	11500	120	60	1	60000	4880	4070011:100,4110203:60,1:200000
14	13	60000	120000	120000		VIPExplain_13	15	5	18	5	1	1	1	1	1	1	11500	60	60	1	100000	6880	4011006:1,4011007:1,4110203:100,1:200000
15	14	80000	200000	200000		VIPExplain_14	16	5	19	5	1	1	1	1	1	1	12000	60	60	1	200000	10880	4070011:100,4110203:200,1:300000
16	15	100000	300000	300000		VIPExplain_15	17	5	20	5	1	1	1	1	1	1	13000	60	60	3	300000	20880	4010011:1,4110203:300,1:400000
