基础ID	卡片类型	卡片资质类型	卡片等级	卡片品质	攻击比例	防御比例	生命比例	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量
Id	CardType	CardAptitudeType	CardLevel	CardQuality	AttackRate	DefenseRate	HPRate	Material1Id	Material1Num	Material2Id	Material2Num	Material3Id	Material3Num	Material4Id	Material4Num	Material5Id	Material5Num
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1101	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1102	1	1	1	2	10000	10000	10000	1	3000	4020000	1	4020001	1	4020002	1	4020003	1
1103	1	1	1	3	20000	20000	20000	1	6000	4020000	10	4020001	3	4020002	2	4020003	2
1104	1	1	10	4	30000	30000	30000	1	10000	4020000	15	4020004	6	4020005	3	4020006	3
1105	1	1	16	5	40000	40000	40000	1	20000	4020000	20	4020004	12	4020005	4	4020006	4
1106	1	1	22	6	50000	50000	50000	1	40000	4020000	30	4020007	18	4020008	8	4020009	8
1107	1	1	28	7	60000	60000	60000	1	60000	4020000	40	4020010	24	4020011	8	4020012	8
1108	1	1	34	8	70000	70000	70000	1	80000	4020000	60	4020010	30	4020011	10	4020012	10
1109	1	1	40	9	80000	80000	80000	1	100000	4020000	90	4020013	45	4020014	15	4020015	15
1110	1	1	45	10	90000	90000	90000	1	120000	4020000	120	4020013	60	4020014	20	4020015	20
1111	1	1	50	11	100000	100000	100000	1	140000	4020000	200	4020016	96	4020017	32	4020018	32
1112	1	1	55	12	110000	110000	110000	1	160000	4020000	320	4020016	144	4020017	48	4020018	48
1113	1	1	60	13	120000	120000	120000	1	180000	4020000	400	4020019	192	4020020	64	4020021	64
1114	1	1	65	14	130000	130000	130000	1	200000	4020000	600	4020019	200	4020020	96	4020021	96
1115	1	1	70	15	140000	140000	140000	1	240000	4020000	800	4020022	384	4020023	128	4020024	128
1116	1	1	75	16	150000	150000	150000	1	280000	4020000	1250	4020022	600	4020023	200	4020024	200
1117	1	1	80	17	160000	160000	160000	1	320000	4020000	2240	4020025	900	4020026	300	4020027	300
1118	1	1	85	18	170000	170000	170000	1	360000	4020000	2350	4020028	1125	4020029	380	4020030	380
1119	1	1	90	19	180000	180000	180000	1	400000	4020000	2500	4020031	1350	4020032	450	4020033	450
1120	1	1	95	20	190000	190000	190000	1	460000	4020000	2800	4020034	1500	4020035	500	4020036	500
1121	1	1	101	21	200000	200000	200000	1	520000	4020000	3500	4020034	1800	4020035	600	4020036	600
1122	1	1	101	22	210000	210000	210000	1	580000	4020000	4000	4020034	2250	4020035	750	4020036	750
