战魂ID	战魂名称	战魂描述	战魂ICON	影响玩法类型	战魂位置	属性1编号	属性1值	属性1步长	属性2编号	属性2值	属性2步长	属性3编号	属性3值	属性3步长	属性4编号	属性4值	属性4步长
Id	WarSoulNameId	WarSoulExplainId	WarSoulIcon	PlayType	WarSoulPos	Quality1Id	Quality1Number	Quality1Step	Quality2Id	Quality2Number	Quality2Step	Quality3Id	Quality3Number	Quality3Step	Quality4Id	Quality4Number	Quality4Step
int	string	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int
1001	WarSoulNameId_1	WarSoulExplainId_1	WarSoulIcon001	1	1	28	50	4	29	40	3	0	0	0	0	0	0
1002	WarSoulNameId_2	WarSoulExplainId_2	WarSoulIcon002	1	1	19	40	8	0	0	0	0	0	0	0	0	0
1003	WarSoulNameId_3	WarSoulExplainId_3	WarSoulIcon003	1	1	20	200	40	0	0	0	0	0	0	0	0	0
1004	WarSoulNameId_4	WarSoulExplainId_4	WarSoulIcon004	1	1	18	115	15	0	0	0	0	0	0	0	0	0
1005	WarSoulNameId_5	WarSoulExplainId_5	WarSoulIcon005	1	1	18	240	40	0	0	0	0	0	0	0	0	0
1006	WarSoulNameId_6	WarSoulExplainId_6	WarSoulIcon006	1	1	28	55	5	29	55	5	19	11	0	0	0	0
1007	WarSoulNameId_7	WarSoulExplainId_7	WarSoulIcon007	1	1	28	80	4	29	60	3	0	0	0	0	0	0
1008	WarSoulNameId_8	WarSoulExplainId_8	WarSoulIcon008	1	1	18	115	15	20	0	0	0	0	0	0	0	0
1009	WarSoulNameId_9	WarSoulExplainId_9	WarSoulIcon009	1	1	19	40	4	20	10	1	0	0	0	0	0	0
1010	WarSoulNameId_10	WarSoulExplainId_10	WarSoulIcon010	1	1	19	50	5	0	0	0	0	0	0	0	0	0
1011	WarSoulNameId_11	WarSoulExplainId_11	WarSoulIcon011	1	1	19	40	4	20	10	1	0	0	0	0	0	0
1012	WarSoulNameId_12	WarSoulExplainId_12	WarSoulIcon012	1	1	20	1000	40	0	0	0	0	0	0	0	0	0
1013	WarSoulNameId_13	WarSoulExplainId_13	WarSoulIcon013	1	1	30	85	5	1	150	10	0	0	0	0	0	0
1014	WarSoulNameId_14	WarSoulExplainId_14	WarSoulIcon014	1	1	20	200	40	19	20	4	0	0	0	0	0	0
2001	WarSoulNameId_15	WarSoulExplainId_15	WarSoulIcon015	2	2	25	500	500	0	0	0	0	0	0	0	0	0
3001	WarSoulNameId_16	WarSoulExplainId_16	WarSoulIcon016	1	3	27	100	45	0	0	0	0	0	0	0	0	0
4001	WarSoulNameId_17	WarSoulExplainId_17	WarSoulIcon017	1	4	3	1000	1000	0	0	0	0	0	0	0	0	0
