缘分ID	缘分名称	缘分说明	缘分类型	缘分影响	技能实际结果	条件卡片	攻击加成	防御加成	生命加成	缘分所属
Id	YokeNameId	YokeExplainId	YokeType	YokeEffectType	YokeEffectSkill	MainCondition	AttackPlus	DefensePlus	HPPlus	BelongHero
int	string	string	int	int	string	string	int	int	int	int
90011	Card_YokeNameId_1	Card_YokeExplainId_1	4	1	0	1000001,1000002,1000018	2000	0	0	1000001
90021	Card_YokeNameId_2	Card_YokeExplainId_2	4	1	0	1000001,1000002,1000018	2000	1	0	1000002
90031	Card_YokeNameId_3	Card_YokeExplainId_3	4	1	0	1000004,1000003,1000006	2000	2	0	1000003
90041	Card_YokeNameId_4	Card_YokeExplainId_4	4	1	0	1000025,1000023,1000004,1000028	0	3	2000	1000004
90051	Card_YokeNameId_5	Card_YokeExplainId_5	4	1	0	1000005,1000017,1000009	2000	4	0	1000005
90061	Card_YokeNameId_6	Card_YokeExplainId_6	4	1	0	1000004,1000003,1000006	2000	5	0	1000006
90071	Card_YokeNameId_7	Card_YokeExplainId_7	4	1	0	1000007,1000025,1000021	2000	6	0	1000007
90081	Card_YokeNameId_8	Card_YokeExplainId_8	4	1	0	1000010,1000008,1000016	2000	7	0	1000008
90091	Card_YokeNameId_9	Card_YokeExplainId_9	4	1	0	1000009,1000010,1000006	0	8	2000	1000009
90101	Card_YokeNameId_10	Card_YokeExplainId_10	4	1	0	1000002,1000010,1000023,1000007,1000022	2000	9	0	1000010
90111	Card_YokeNameId_11	Card_YokeExplainId_11	4	1	0	1000011,1000027,1000024	2000	10	0	1000011
90121	Card_YokeNameId_12	Card_YokeExplainId_12	4	1	0	1000012,1000028,1000027	2500	11	0	1000012
90131	Card_YokeNameId_13	Card_YokeExplainId_13	4	1	0	1000013,1000001,1000027,1000028	2500	12	0	1000013
90141	Card_YokeNameId_14	Card_YokeExplainId_14	4	1	0	1000023,1000014,1000028	2500	13	0	1000014
90151	Card_YokeNameId_15	Card_YokeExplainId_15	4	1	0	1000015,1000016,1000028	2500	14	0	1000015
90161	Card_YokeNameId_16	Card_YokeExplainId_16	4	1	0	1000010,1000008,1000016	2000	15	0	1000016
90171	Card_YokeNameId_17	Card_YokeExplainId_17	4	1	0	1000005,1000017,1000009	2000	16	0	1000017
90181	Card_YokeNameId_18	Card_YokeExplainId_18	4	1	0	1000001,1000002,1000018	2000	17	0	1000018
90191	Card_YokeNameId_19	Card_YokeExplainId_19	4	1	0	1000019,1000026,1000022	2000	18	0	1000019
90201	Card_YokeNameId_20	Card_YokeExplainId_20	4	1	0	1000006,1000017,1000014,1000020	2000	19	0	1000020
90211	Card_YokeNameId_21	Card_YokeExplainId_21	4	1	0	1000021,1000022,1000016,1000006	0	20	2000	1000021
90221	Card_YokeNameId_22	Card_YokeExplainId_22	4	1	0	1000002,1000010,1000023,1000007,1000022	2000	21	0	1000022
90231	Card_YokeNameId_23	Card_YokeExplainId_23	4	1	0	1000021,1000022,1000016,1000006	0	22	2000	1000023
90241	Card_YokeNameId_24	Card_YokeExplainId_24	4	1	0	1000011,1000027,1000024	2000	23	0	1000024
90251	Card_YokeNameId_25	Card_YokeExplainId_25	4	1	0	1000007,1000025,1000021	2000	24	0	1000025
90261	Card_YokeNameId_26	Card_YokeExplainId_26	4	1	0	1000019,1000026,1000022	2000	25	0	1000026
90271	Card_YokeNameId_27	Card_YokeExplainId_27	4	1	0	1000011,1000027,1000024	2000	26	0	1000027
90281	Card_YokeNameId_28	Card_YokeExplainId_28	4	1	0	1000023,1000014,1000028	2000	27	0	1000028
90012	Card_YokeNameId_29	Card_YokeExplainId_29	4	1	0	1000001,1000011,1000019	2000	28	0	1000001
90022	Card_YokeNameId_30	Card_YokeExplainId_30	4	1	0	1000002,1000010,1000023,1000007,1000022	2000	29	0	1000002
90032	Card_YokeNameId_31	Card_YokeExplainId_31	4	1	0	1000003,1000007,1000019,1000008,1000005	0	30	2000	1000003
90042	Card_YokeNameId_32	Card_YokeExplainId_32	4	1	0	1000004,1000003,1000006	2000	31	0	1000004
90052	Card_YokeNameId_33	Card_YokeExplainId_33	4	1	0	1000003,1000007,1000019,1000008,1000005	0	32	2000	1000005
90062	Card_YokeNameId_34	Card_YokeExplainId_34	4	1	0	1000006,1000017,1000014,1000020	2000	33	0	1000006
90072	Card_YokeNameId_35	Card_YokeExplainId_35	4	1	0	1000003,1000007,1000019,1000008,1000005	0	34	2000	1000007
