主ID	商店刷新消耗	试练塔宝箱消耗	体力购买消耗	竞技场挑战次数购买	竞技场刷新对手钻石消耗	精英副本购买消耗	技能点购买消耗
Id	ShopRefreshConsume	TowerPracticeConsume	SpiritShopConsume	PVPChallengeConsume	PVPRefreshConsume	PVERefreshConsume	SkillConsume
int	string	string	string	string	string	string	string
1	2:10	2:10	2:30	2:10	2:5	2:15	2:20
2	2:20	2:20	2:30	2:15	2:10	2:30	2:20
3	2:30	2:30	2:50	2:15	2:10	2:50	2:30
4	2:40	2:40	2:50	2:20	2:10	2:70	2:30
5	2:50	2:50	2:50	2:20	2:15	2:100	2:30
6	2:60	2:60	2:50	2:20	2:15	2:100	2:30
7	2:70	2:70	2:80	2:25	2:15	2:100	2:50
8	2:80	2:80	2:80	2:25	2:15	2:100	2:50
9	2:90	2:90	2:80	2:25	2:20	2:100	2:50
10	2:100	2:100	2:80	2:30	2:20	2:100	2:50
11	2:100	2:110	2:120	2:30	2:20	2:100	2:50
12	2:100	2:120	2:120	2:30	2:20	2:100	2:50
13	2:100	2:130	2:120	2:30	2:30	2:100	2:50
14	2:100	2:140	2:120	2:40	2:30	2:100	2:50
15	2:100	2:150	2:170	2:40	2:30	2:100	2:50
16	2:100	2:160	2:170	2:40	2:30	2:100	2:50
17	2:100	2:170	2:170	2:40	2:30	2:100	2:50
18	2:100	2:180	2:170	2:50	2:30	2:100	2:50
19	2:100	2:190	2:230	2:50	2:30	2:100	2:50
20	2:100	2:200	2:230	2:50	2:30	2:100	2:50
21	2:100	2:210	2:230	2:50	2:30	2:100	2:50
22	2:100	2:220	2:230	2:50	2:30	2:100	2:50
23	2:100	2:230	2:230	2:50	2:30	2:100	2:50
