主ID	掉落组ID	等级区间	掉落权重	掉落物品ID	最小掉落	最大掉落
Id	GroupId	DropLevel	DropRate	GoodsId	MinNum	MaxNum
int	int	string	int	int	int	int
1	1	1:105	667	1000006	1	1
2	1	1:105	667	1000023	1	1
3	1	1:105	667	1000010	1	1
4	1	1:105	667	1000022	1	1
5	1	1:105	667	1000009	1	1
6	1	1:105	667	1000018	1	1
7	1	1:105	666	1000021	1	1
8	1	1:105	375	1000027	1	1
9	1	1:105	375	1000002	1	1
10	1	1:105	375	1000016	1	1
11	1	1:105	375	1000024	1	1
12	1	1:105	375	1000025	1	1
13	1	1:105	375	1000017	1	1
14	1	1:105	375	1000020	1	1
15	1	1:105	375	1000026	1	1
16	1	64:105	200	1000003	1	1
17	1	64:105	200	1000007	1	1
18	1	64:105	200	1000019	1	1
19	1	64:105	200	1000008	1	1
20	1	64:105	200	1000011	1	1
21	1	1:105	666	1000001	1	1
22	1	1:105	666	1000005	1	1
23	50	1:100	625	4070023	1	1
24	50	1:100	625	4070027	1	1
25	50	1:100	625	4070022	1	1
26	50	1:100	625	4070002	1	1
27	50	1:100	625	4070009	1	1
28	50	1:100	625	4070026	1	1
29	50	1:100	625	4070021	1	1
30	50	1:100	625	4070016	1	1
31	50	1:100	625	4070024	1	1
32	50	1:100	625	4070025	1	1
33	50	1:100	625	4070017	1	1
34	50	1:100	625	4070018	1	1
35	50	1:100	625	4070004	1	1
36	50	1:100	625	4070028	1	1
37	50	1:100	625	4070005	1	1
38	50	1:100	625	4070020	1	1
39	51	1:100	527	4070006	2	2
40	51	1:100	527	4070007	2	2
41	51	1:100	527	4070001	2	2
42	51	1:100	527	4070023	2	2
43	51	1:100	527	4070010	2	2
44	51	1:100	527	4070027	2	2
45	51	1:100	526	4070022	2	2
46	51	1:100	526	4070002	2	2
47	51	1:100	526	4070009	2	2
48	51	1:100	526	4070026	2	2
49	51	1:100	526	4070021	2	2
50	51	1:100	526	4070016	2	2
51	51	1:100	526	4070024	2	2
52	51	1:100	526	4070025	2	2
53	51	1:100	526	4070017	2	2
54	51	1:100	526	4070018	2	2
55	51	1:100	526	4070004	2	2
