主ID	掉落库ID	概率	掉落类型	掉落ID	最小掉落	最大掉落
Id	LibraryId	DropRate	DropType	DropID	MinNum	MaxNum
int	int	int	int	int	int	int
1	1	10000	1	50	1	1
2	2	10000	1	100	1	1
3	3	10000	1	150	1	1
4	10	10000	1	51	1	1
5	11	10000	1	1	1	1
6	12	10000	2	4100002	15	30
7	13	10000	1	200	1	1
8	14	10000	1	150	1	1
9	15	10000	1	100	1	1
10	20	10000	1	250	1	1
11	21	10000	1	300	1	1
12	22	10000	1	301	1	1
13	23	10000	1	201	1	1
14	24	10000	2	4100004	1	1
15	10000	10000	2	4080001	1	3
16	10000	10000	2	4080002	1	3
17	10000	10000	2	4090006	1	3
18	10000	10000	2	4090007	1	3
19	10000	10000	2	4020000	1	3
20	10001	10000	2	4020001	1	3
21	10001	10000	2	4080001	1	3
22	10001	10000	2	4080002	1	3
23	10001	10000	2	4090006	1	3
24	10001	10000	2	4090007	1	3
25	10001	10000	2	4020000	1	3
26	10002	10000	2	4020002	1	3
27	10002	10000	2	4080001	1	3
28	10002	10000	2	4080002	1	3
29	10002	10000	2	4090006	1	3
30	10002	10000	2	4090007	1	3
31	10002	10000	2	4020000	1	3
32	10003	10000	2	4020002	1	3
33	10003	10000	2	4080001	1	3
34	10003	10000	2	4080002	1	3
35	10003	10000	2	4090006	1	3
36	10003	10000	2	4090007	1	3
37	10003	10000	2	4020000	1	3
38	10004	10000	2	4020004	1	3
39	10004	10000	2	4020002	1	3
40	10004	10000	2	4020003	1	3
41	10004	10000	2	4080001	1	3
42	10004	10000	2	4080002	1	3
43	10004	10000	2	4090006	1	3
44	10004	10000	2	4090007	1	3
45	10004	10000	2	4020000	1	3
46	10005	10000	2	4020005	1	3
47	10005	10000	2	4020001	1	3
48	10005	10000	2	4020003	1	3
49	10005	10000	2	4080001	1	3
50	10005	10000	2	4080002	1	3
51	10005	10000	2	4090006	1	3
52	10005	10000	2	4090007	1	3
53	10005	10000	2	4020000	1	3
54	10006	7000	2	4020005	1	3
55	10006	3000	2	4020001	1	3
56	10006	3000	2	4020002	1	3
57	10006	6000	2	4080001	1	3
58	10006	1000	2	4080002	1	3
59	10006	6000	2	4090006	1	3
60	10006	1000	2	4090007	1	3
61	10006	8000	2	4020000	1	3
62	10007	7000	2	4020004	1	3
63	10007	6000	2	4080001	1	3
64	10007	1000	2	4080002	1	3
65	10007	6000	2	4090006	1	3
66	10007	1000	2	4090007	1	3
67	10007	8000	2	4020000	1	3
68	10008	7000	2	4020006	1	3
69	10008	6000	2	4080001	1	3
70	10008	1000	2	4080002	1	3
71	10008	6000	2	4090006	1	3
72	10008	1000	2	4090007	1	3
73	10008	8000	2	4020000	1	3
74	10009	7000	2	4020005	1	3
75	10009	6000	2	4080001	1	3
76	10009	1000	2	4080002	1	3
77	10009	6000	2	4090006	1	3
78	10009	1000	2	4090007	1	3
79	10009	8000	2	4020000	1	3
80	10010	7000	2	4020007	1	3
81	10010	3000	2	4020005	1	3
82	10010	3000	2	4020006	1	3
83	10010	6000	2	4080001	1	3
84	10010	1000	2	4080002	1	3
85	10010	6000	2	4090006	1	3
86	10010	1000	2	4090007	1	3
87	10010	8000	2	4020000	1	3
88	10011	7000	2	4020008	1	3
89	10011	3000	2	4020004	1	3
90	10011	3000	2	4020006	1	3
91	10011	6000	2	4080001	1	3
92	10011	1000	2	4080002	1	3
93	10011	6000	2	4090006	1	3
94	10011	1000	2	4090007	1	3
95	10011	8000	2	4020000	1	3
96	10012	7000	2	4020009	1	3
97	10012	3000	2	4020004	1	3
98	10012	3000	2	4020006	1	3
99	10012	6000	2	4080001	1	3
100	10012	1000	2	4080002	1	3
101	10012	6000	2	4090006	1	3
102	10012	1000	2	4090007	1	3
103	10012	8000	2	4020000	1	3
104	10013	7000	2	4020007	1	3
105	10013	3000	2	4020006	1	3
106	10013	6000	2	4080001	1	3
107	10013	1000	2	4080002	1	3
108	10013	6000	2	4090006	1	3
109	10013	1000	2	4090007	1	3
110	10013	8000	2	4020000	1	3
111	10014	7000	2	4020009	1	3
112	10014	3000	2	4020005	1	3
113	10014	6000	2	4080001	1	3
114	10014	1000	2	4080002	1	3
115	10014	6000	2	4090006	1	3
116	10014	1000	2	4090007	1	3
117	10014	8000	2	4020000	1	3
118	10015	7000	2	4020008	1	3
119	10015	3000	2	4020004	1	3
120	10015	6000	2	4080001	1	3
121	10015	1000	2	4080002	1	3
122	10015	6000	2	4090006	1	3
123	10015	1000	2	4090007	1	3
124	10015	8000	2	4020000	1	3
125	10016	7000	2	4020010	1	3
126	10016	4000	2	4020008	1	3
127	10016	3000	2	4020003	1	3
128	10016	6000	2	4080001	1	3
129	10016	1000	2	4080002	1	3
130	10016	6000	2	4090006	1	3
131	10016	1000	2	4090007	1	3
132	10016	8000	2	4020000	1	3
133	10017	7000	2	4020011	1	3
134	10017	4000	2	4020009	1	3
135	10017	3000	2	4020001	1	3
136	10017	6000	2	4080001	1	3
137	10017	1000	2	4080002	1	3
138	10017	6000	2	4090006	1	3
139	10017	1000	2	4090007	1	3
140	10017	8000	2	4020000	1	3
141	10018	7000	2	4020012	1	3
142	10018	4000	2	4020007	1	3
143	10018	3000	2	4020002	1	3
144	10018	6000	2	4080001	1	3
145	10018	1000	2	4080002	1	3
146	10018	6000	2	4090006	1	3
147	10018	1000	2	4090007	1	3
148	10018	8000	2	4020000	1	3
149	10019	7000	2	4020010	1	3
150	10019	3000	2	4020009	1	3
151	10019	6000	2	4080001	1	3
152	10019	1000	2	4080002	1	3
153	10019	6000	2	4090006	1	3
154	10019	1000	2	4090007	1	3
155	10019	8000	2	4020000	1	3
156	10020	7000	2	4020012	1	3
157	10020	3000	2	4020008	1	3
158	10020	6000	2	4080001	1	3
159	10020	1000	2	4080002	1	3
160	10020	6000	2	4090006	1	3
161	10020	1000	2	4090007	1	3
162	10020	8000	2	4020000	1	3
163	10021	7000	2	4020011	1	3
164	10021	3000	2	4020007	1	3
165	10021	6000	2	4080001	1	3
166	10021	1000	2	4080002	1	3
167	10021	6000	2	4090006	1	3
168	10021	1000	2	4090007	1	3
169	10021	8000	2	4020000	1	3
170	10022	7000	2	4020013	1	3
171	10022	4000	2	4020011	1	3
172	10022	3000	2	4020006	1	3
173	10022	6000	2	4080001	1	3
174	10022	1000	2	4080002	1	3
175	10022	6000	2	4090006	1	3
176	10022	1000	2	4090007	1	3
177	10022	8000	2	4020000	1	3
178	10023	7000	2	4020014	1	3
179	10023	4000	2	4020012	1	3
180	10023	3000	2	4020004	1	3
181	10023	6000	2	4080001	1	3
182	10023	1000	2	4080002	1	3
183	10023	6000	2	4090006	1	3
184	10023	1000	2	4090007	1	3
185	10023	8000	2	4020000	1	3
186	10024	7000	2	4020015	1	3
187	10024	4000	2	4020010	1	3
188	10024	3000	2	4020005	1	3
189	10024	6000	2	4080001	1	3
190	10024	1000	2	4080002	1	3
191	10024	6000	2	4090006	1	3
192	10024	1000	2	4090007	1	3
193	10024	8000	2	4020000	1	3
194	10025	7000	2	4020013	1	3
