基础ID	装备部位	需求人物等级	装备品质等级	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量
Id	EquipmentPos	NeedPlayerLv	EquipmentQuality	Material1Id	Material1Num	Material2Id	Material2Num	Material3Id	Material3Num	Material4Id	Material4Num	Material5Id	Material5Num
int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	11	1	1	5000	4030001	1	0	0	0	0	0	0
102	1	16	2	1	10000	4030002	1	0	0	0	0	0	0
103	1	21	3	1	15000	4030003	1	0	0	0	0	0	0
104	1	26	4	1	20000	4030004	1	4020007	4	4020009	4	4020008	4
105	1	31	5	1	25000	4030005	1	4020007	4	4020009	4	4020008	4
106	1	36	6	1	30000	4030006	1	4020010	4	4020012	4	4020011	4
107	1	41	7	1	35000	4030007	2	4020010	8	4020012	8	4020011	8
108	1	46	8	1	40000	4030008	2	4020013	10	4020015	10	4020014	10
109	1	51	9	1	50000	4030009	3	4020013	12	4020015	12	4020014	12
110	1	56	10	1	60000	4030010	3	4020016	16	4020018	16	4020017	16
111	1	61	11	1	80000	4030011	3	4020016	20	4020018	20	4020017	20
112	1	66	12	1	100000	4030012	3	4020019	32	4020021	32	4020020	32
113	1	71	13	1	120000	4030013	3	4020019	48	4020021	48	4020020	48
114	1	76	14	1	140000	4030014	4	4020022	72	4020024	72	4020023	72
115	1	81	15	1	160000	4030015	6	4020022	108	4020024	108	4020023	108
116	1	86	16	1	180000	4030016	8	4020025	144	4020027	144	4020026	144
117	1	91	17	1	200000	4030017	10	4020028	200	4020030	200	4020029	200
118	1	96	18	1	240000	4030018	12	4020031	256	4020033	256	4020032	256
119	1	101	19	1	280000	4030019	15	4020034	312	4020036	312	4020035	312
120	1	105	20	1	320000	4030019	20	4020034	392	4020036	392	4020035	392
201	2	11	1	1	5000	4030001	1	0	0	0	0	0	0
202	2	16	2	1	10000	4030002	1	0	0	0	0	0	0
203	2	21	3	1	15000	4030003	1	0	0	0	0	0	0
204	2	26	4	1	20000	4030004	1	4020007	2	4020009	2	4020008	2
205	2	31	5	1	25000	4030005	1	4020007	2	4020009	2	4020008	2
206	2	36	6	1	30000	4030006	1	4020010	3	4020012	3	4020011	3
207	2	41	7	1	35000	4030007	2	4020010	4	4020012	4	4020011	4
208	2	46	8	1	40000	4030008	2	4020013	5	4020015	5	4020014	5
209	2	51	9	1	50000	4030009	3	4020013	6	4020015	6	4020014	6
210	2	56	10	1	60000	4030010	3	4020016	8	4020018	8	4020017	8
211	2	61	11	1	80000	4030011	3	4020016	10	4020018	10	4020017	10
212	2	66	12	1	100000	4030012	3	4020019	16	4020021	16	4020020	16
213	2	71	13	1	120000	4030013	3	4020019	24	4020021	24	4020020	24
214	2	76	14	1	140000	4030014	4	4020022	36	4020024	36	4020023	36
215	2	81	15	1	160000	4030015	6	4020022	54	4020024	54	4020023	54
216	2	86	16	1	180000	4030016	8	4020025	72	4020027	72	4020026	72
217	2	91	17	1	200000	4030017	10	4020028	100	4020030	100	4020029	100
218	2	96	18	1	240000	4030018	12	4020031	128	4020033	128	4020032	128
219	2	101	19	1	280000	4030019	15	4020034	156	4020036	156	4020035	156
220	2	105	20	1	320000	4030019	20	4020034	196	4020036	196	4020035	196
301	3	11	1	1	5000	4030001	1	0	0	0	0	0	0
302	3	16	2	1	10000	4030002	1	0	0	0	0	0	0
303	3	21	3	1	15000	4030003	1	0	0	0	0	0	0
304	3	26	4	1	20000	4030004	1	4020007	2	4020009	2	4020008	2
305	3	31	5	1	25000	4030005	1	4020007	2	4020009	2	4020008	2
306	3	36	6	1	30000	4030006	1	4020010	3	4020012	3	4020011	3
307	3	41	7	1	35000	4030007	2	4020010	4	4020012	4	4020011	4
308	3	46	8	1	40000	4030008	2	4020013	5	4020015	5	4020014	5
309	3	51	9	1	50000	4030009	3	4020013	6	4020015	6	4020014	6
310	3	56	10	1	60000	4030010	3	4020016	8	4020018	8	4020017	8
311	3	61	11	1	80000	4030011	3	4020016	10	4020018	10	4020017	10
312	3	66	12	1	100000	4030012	3	4020019	16	4020021	16	4020020	16
313	3	71	13	1	120000	4030013	3	4020019	24	4020021	24	4020020	24
314	3	76	14	1	140000	4030014	4	4020022	36	4020024	36	4020023	36
315	3	81	15	1	160000	4030015	6	4020022	54	4020024	54	4020023	54
316	3	86	16	1	180000	4030016	8	4020025	72	4020027	72	4020026	72
317	3	91	17	1	200000	4030017	10	4020028	100	4020030	100	4020029	100
318	3	96	18	1	240000	4030018	12	4020031	128	4020033	128	4020032	128
319	3	101	19	1	280000	4030019	15	4020034	156	4020036	156	4020035	156
320	3	105	20	1	320000	4030019	20	4020034	196	4020036	196	4020035	196
401	4	11	1	1	5000	4030001	1	0	0	0	0	0	0
402	4	16	2	1	10000	4030002	1	0	0	0	0	0	0
403	4	21	3	1	15000	4030003	1	0	0	0	0	0	0
404	4	26	4	1	20000	4030004	1	4020007	2	4020009	2	4020008	2
405	4	31	5	1	25000	4030005	1	4020007	2	4020009	2	4020008	2
406	4	36	6	1	30000	4030006	1	4020010	3	4020012	3	4020011	3
407	4	41	7	1	35000	4030007	2	4020010	4	4020012	4	4020011	4
408	4	46	8	1	40000	4030008	2	4020013	5	4020015	5	4020014	5
409	4	51	9	1	50000	4030009	3	4020013	6	4020015	6	4020014	6
410	4	56	10	1	60000	4030010	3	4020016	8	4020018	8	4020017	8
411	4	61	11	1	80000	4030011	3	4020016	10	4020018	10	4020017	10
412	4	66	12	1	100000	4030012	3	4020019	16	4020021	16	4020020	16
413	4	71	13	1	120000	4030013	3	4020019	24	4020021	24	4020020	24
414	4	76	14	1	140000	4030014	4	4020022	36	4020024	36	4020023	36
415	4	81	15	1	160000	4030015	6	4020022	54	4020024	54	4020023	54
416	4	86	16	1	180000	4030016	8	4020025	72	4020027	72	4020026	72
417	4	91	17	1	200000	4030017	10	4020028	100	4020030	100	4020029	100
418	4	96	18	1	240000	4030018	12	4020031	128	4020033	128	4020032	128
419	4	101	19	1	280000	4030019	15	4020034	156	4020036	156	4020035	156
420	4	105	20	1	320000	4030019	20	4020034	196	4020036	196	4020035	196
