ID	玩家体力	战队经验	12资质卡片经验	13资质卡片经验	14资质卡片经验	15资质卡片经验	社团训练所增加经验/分钟	好感度阶段1经验	好感度阶段2经验	好感度阶段3经验	好感度阶段4经验	好感度阶段5经验	好感度阶段6经验	好感度阶段7经验	特殊装备经验	第一战魂经验	第二战魂经验	第三战魂经验	第四战魂经验
Id	RoleSpirit	CorpsExp	Card12Exp	Card13Exp	Card14Exp	Card15Exp	GuildTrainRoleExp	Class1Level	Class2Level	Class3Level	Class4Level	Class5Level	Class6Level	Class7Level	SpecialEquipmentExp	WarSoul1Exp	WarSoul2Exp	WarSoul3Exp	WarSoul4Exp
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	60	6	24	28	36	48	7	20	30	40	60	80	100	120	15	30	36	60	60
2	62	6	48	56	72	96	7	20	30	40	60	80	100	120	20	40	48	80	80
3	64	6	72	84	108	144	7	20	30	40	60	80	100	120	25	50	60	100	100
4	66	6	96	112	144	192	7	20	30	40	60	80	100	120	30	60	72	120	120
5	68	6	120	140	180	240	7	20	30	40	60	80	100	120	35	70	84	140	140
6	70	6	144	168	216	288	7	30	40	50	70	90	110	130	40	80	96	160	160
7	72	6	180	210	270	360	7	30	40	50	70	90	110	130	45	90	108	180	180
8	74	12	240	280	360	480	7	30	40	50	70	90	110	130	50	100	120	200	200
9	76	12	360	420	540	720	7	30	40	50	70	90	110	130	55	120	144	240	240
10	78	12	480	560	720	960	7	30	40	50	70	90	110	130	60	160	192	320	320
11	80	18	600	700	900	1200	7	40	50	60	80	100	120	140	65	200	240	400	400
12	82	30	720	840	1080	1440	7	40	50	60	80	100	120	140	70	240	288	480	480
13	84	40	960	1120	1440	1920	7	40	50	60	80	100	120	140	75	280	336	560	560
14	86	50	1200	1400	1800	2400	7	40	50	60	80	100	120	140	80	320	384	640	640
15	88	60	1440	1680	2160	2880	7	40	50	60	80	100	120	140	85	400	480	800	800
16	90	70	2040	2380	3060	4080	7	50	60	70	90	110	130	150	90	500	600	1000	1000
17	92	80	2400	2800	3600	4800	7	50	60	70	90	110	130	150	95	600	720	1200	1200
18	94	90	2760	3220	4140	5520	7	50	60	70	90	110	130	150	100	700	840	1400	1400
19	96	100	3119	3639	4679	6238	7	50	60	70	90	110	130	150	105	800	960	1600	1600
20	98	120	3479	4059	5219	6958	7	50	60	70	90	110	130	150	110	0	0	0	0
21	100	150	3840	4480	5760	7680	7	60	70	80	100	120	140	160	115	0	0	0	0
22	101	190	4200	4900	6300	8400	7	60	70	80	100	120	140	160	120	0	0	0	0
23	102	240	4440	5180	6660	8880	7	60	70	80	100	120	140	160	125	0	0	0	0
24	103	280	4800	5600	7200	9600	7	60	70	80	100	120	140	160	130	0	0	0	0
25	104	320	5160	6020	7740	10320	7	60	70	80	100	120	140	160	135	0	0	0	0
26	105	360	6239	7279	9359	12478	9	70	80	90	110	130	150	170	140	0	0	0	0
27	106	400	6359	7419	9539	12718	9	70	80	90	110	130	150	170	145	0	0	0	0
28	107	440	6839	7979	10259	13678	9	70	80	90	110	130	150	170	150	0	0	0	0
29	108	480	7319	8540	10980	14640	10	70	80	90	110	130	150	170	160	0	0	0	0
30	109	520	7800	9100	11700	15600	11	70	80	90	110	130	150	170	170	0	0	0	0
31	110	560	9000	10500	13499	18000	12	80	90	100	120	140	160	180	180	0	0	0	0
32	111	600	9600	11200	14399	19200	13	80	90	100	120	140	160	180	190	0	0	0	0
33	112	640	10200	11900	15299	20400	14	80	90	100	120	140	160	180	200	0	0	0	0
34	113	680	10920	12740	16379	21840	15	80	90	100	120	140	160	180	220	0	0	0	0
35	114	720	11640	13580	17459	23280	16	80	90	100	120	140	160	180	240	0	0	0	0
36	115	760	14400	16800	21599	28800	19	90	100	110	130	150	170	190	260	0	0	0	0
37	116	800	14400	16800	21599	28800	19	90	100	110	130	150	170	190	280	0	0	0	0
38	117	840	15599	18200	23399	31200	21	90	100	110	130	150	170	190	300	0	0	0	0
39	118	880	16799	19600	25199	33600	23	90	100	110	130	150	170	190	320	0	0	0	0
40	119	920	19199	22400	28799	38400	26	90	100	110	130	150	170	190	340	0	0	0	0
41	120	1020	25199	29399	37799	50398	34	100	110	120	140	160	180	200	360	0	0	0	0
42	121	1120	28800	33600	43199	57600	38	100	110	120	140	160	180	200	380	0	0	0	0
43	122	1220	32400	37800	48599	64800	43	100	110	120	140	160	180	200	400	0	0	0	0
44	123	1320	36000	42000	53999	72000	48	100	110	120	140	160	180	200	420	0	0	0	0
