id	功能类型	页签出现等级	等级限制	关卡限制	vip限制	是否全部限制
Id	FunctionType	SheetAppearLv	LimitLv	StageLimit	VIPLimit	IsAllLimit
int	string	int	int	int	int	int
1	布阵	0	6	0	0	1
2	商店-杂货	0	13	0	0	1
3	竞技-竞技场	0	15	0	0	1
4	排行榜	0	18	0	0	1
5	活动关卡-金币挑战	0	18	0	0	1
6	聊天	0	20	0	0	1
7	社团	0	20	0	0	1
8	秘籍徽章强化	0	22	0	0	1
9	挑战-终极试炼	0	24	0	0	1
10	装备觉醒宝箱	25	26	0	0	1
11	商店-觉醒宝箱	25	26	0	0	1
12	战队天赋	0	28	0	0	1
13	活动关卡-经验挑战	0	30	0	0	1
14	格斗家战魂	40	41	0	0	1
15	扫荡50次	0	60	0	6	0
16	战斗点头像	0	0	10101	0	1
17	自动战斗	0	0	10103	0	1
18	战斗加速	0	0	10103	0	1
19	格斗家技能	0	0	10202	0	1
20	格斗家升级	0	0	10206	0	1
21	装备升级	0	0	10208	0	1
22	装备升品	0	0	20101	0	1
23	征战-精英	0	0	10302	0	1
24	任务-日常	0	0	10303	0	1
25	精英扫荡3次	0	0	21005	4	0
26	主线扫荡10次	0	0	11010	4	0
27	主线单扫	0	0	0	0	1
28	精英单扫	0	0	0	0	1
29	竞技场跳过	0	60	0	5	0
30	酒吧	0	0	0	0	0
31	征战-主线	0	0	0	0	0
32	任务-主线	0	0	0	0	0
33	背包	0	0	0	0	0
34	商店-荣誉	0	0	0	0	0
35	商店-试炼	0	0	0	0	0
36	商店-社团	0	0	0	0	0
37	格斗家-强化-升品	0	0	0	0	0
38	格斗家-强化-升星	0	0	0	0	0
39	阵容	0	0	0	0	0
40	格斗家	0	0	0	0	0
41	主城	0	0	0	0	0
