道具ID	道具名称ID	道具描述ID	道具图标	道具类型	道具的背包位置	道具品级	使用类型	资源ID	道具使用值	是否可以合成	合成需求和目标	是否可以叠加	是否可以出售	是否为战魂经验	战魂经验	卡片经验	徽章经验	秘籍经验	道具出售价格	道具金币价格	道具钻石价格	道具荣誉价格	道具试练币价格	道具公会币价格	觉醒碎片价格	来源
Id	ItemNameId	ItemExplainId	ItemIcon	ItemType	ItemBag	ItemColor	UseId	ResourceId	UseItemNumber	CanComposite	CompositeNumToTarget	IsOverlap	IsSale	IsWarSoulExp	WarSoulExp	CardExp	BadgeExp	CheatsExp	SaleNumber	ItemGold	ItemJiamond	ItemHonor	ItemTrain	ItemGuild	ItemAwakeFragment	SourceList
int	string	string	string	int	int	int	int	int	int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
4010001	Item_ItemNameId_4010001	Item_ItemExplainId_4010001	Icon_Tscl1_502	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	540	
4010002	Item_ItemNameId_4010002	Item_ItemExplainId_4010002	Icon_Tscl1_504	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	100	
4010003	Item_ItemNameId_4010003	Item_ItemExplainId_4010003	Icon_Tscl1_506	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	40500	0	540	
4010004	Item_ItemNameId_4010004	Item_ItemExplainId_4010004	Icon_Tscl1_508	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	100	
4010005	Item_ItemNameId_4010005	Item_ItemExplainId_4010005	Icon_Tscl1_510	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	100	
4010006	Item_ItemNameId_4010006	Item_ItemExplainId_4010006	Icon_Tscl1_512	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	36000	0	0	210	
4010007	Item_ItemNameId_4010007	Item_ItemExplainId_4010007	Icon_Tscl1_514	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	210	
4010008	Item_ItemNameId_4010008	Item_ItemExplainId_4010008	Icon_Tscl1_516	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	210	
4010009	Item_ItemNameId_4010009	Item_ItemExplainId_4010009	Icon_Tscl1_518	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	210	
4010010	Item_ItemNameId_4010010	Item_ItemExplainId_4010010	Icon_Tscl1_520	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	36000	0	210	
4010011	Item_ItemNameId_4010011	Item_ItemExplainId_4010011	Icon_Tscl1_522	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4010012	Item_ItemNameId_4010012	Item_ItemExplainId_4010012	Icon_Tscl1_524	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4010013	Item_ItemNameId_4010013	Item_ItemExplainId_4010013	Icon_Tscl1_526	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4010014	Item_ItemNameId_4010014	Item_ItemExplainId_4010014	Icon_Tscl1_528	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4010015	Item_ItemNameId_4010015	Item_ItemExplainId_4010015	Icon_Tscl1_530	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	
4010016	Item_ItemNameId_4010016	Item_ItemExplainId_4010016	Icon_Tscl1_532	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	210	
4010017	Item_ItemNameId_4010017	Item_ItemExplainId_4010017	Icon_Tscl1_534	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	100	
4010018	Item_ItemNameId_4010018	Item_ItemExplainId_4010018	Icon_Tscl1_536	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	100	
4010019	Item_ItemNameId_4010019	Item_ItemExplainId_4010019	Icon_Tscl1_538	1	1	14	0	0	0	0		1	0	0	0	0	0	0	0	0	0	40500	0	0	0	
