怪物ID	卡片ID	初始怒气	攻击怒气	被击怒气	击杀怒气	攻击	防御	生命	伤害	免伤	暴击	抗暴	暴击强度	破档	格挡	格挡强度	治疗	吸血	反伤	控制率	免控	是否物品怪	形象模型阶段	怪物是否为觉醒	小技能释放概率	小技能等级	怒气技能等级	被动1等级	被动2等级	被动3等级	被动4等级	卡片战魂等级
Id	CardId	StartAnger	HitAnger	HitedAnger	KillAnger	Attack	Defense	HP	Damage	DamageOppose	Crit	CritOppose	CritDamage	BlockBreak	Block	BlockDamage	Cure	Suck	Thorns	Ctrl	FreeCtrl	IsObject	Models	IsAwake	SmallSkillRate	SmallSkill	AngerSkill	Skill1	Skill2	Skill3	Skill4	CardWarSoul
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int	int	int	int	int	int	int	string
1	1000001	0	200	10000	300	1495	479	6012	600	300	400	0	0	400	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
2	1000002	0	200	10000	300	836	390	4103	100	0	0	0	0	250	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
3	1000003	0	200	10000	300	918	723	6459	0	500	400	0	0	0	500	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
4	1000004	0	200	10000	300	617	479	4306	0	0	0	100	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
5	1000005	0	200	10000	300	828	398	4062	0	100	1200	0	0	0	600	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
7	1000001	0	200	10000	300	1955	626	78625	600	300	400	0	0	400	0	0	10000	0	0	0	0	1		0	0	1	1	1	1	1	1	0,0,0,0
8	1000002	0	200	10000	300	1094	510	53656	100	0	0	0	0	250	0	0	10000	0	0	0	0	1		0	0	1	1	1	1	1	1	0,0,0,0
100	1000001	0	200	10000	300	1850	570	6500	600	300	400	0	0	400	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
101	1000002	0	200	10000	300	1150	560	5850	100	0	0	0	0	250	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
102	1000003	0	200	10000	300	1550	1020	10700	0	500	400	0	0	0	500	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
103	1000004	0	200	10000	300	850	500	6000	0	0	0	100	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
104	1000005	0	200	10000	300	1150	560	5850	15	115	200	0	0	0	600	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
105	1000006	0	200	10000	300	2200	630	10600	300	0	400	0	0	400	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
106	1000007	0	200	10000	300	2050	950	10690	300	300	400	400	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
107	1000008	0	200	10000	300	1550	1020	10700	0	300	0	400	0	0	400	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
108	1000009	0	200	10000	300	1850	950	10690	1000	0	0	0	0	250	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
109	1000010	0	200	10000	300	1350	920	10700	300	300	0	400	0	0	400	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
110	1000011	0	200	10000	300	4200	1000	10000	1700	0	1900	0	1000	1400	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
111	1000012	0	200	10000	300	3400	1200	10290	2000	0	2500	500	0	1000	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
112	1000013	0	200	10000	300	5200	1100	10000	2000	600	1200	0	1500	1500	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
113	1000014	0	200	10000	300	5200	1100	10000	2500	500	1800	500	1000	500	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
114	1000015	0	200	10000	300	4200	1000	10000	1800	800	2000	500	0	900	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
115	1000016	0	200	10000	300	1450	1220	10700	100	300	0	0	0	0	800	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
116	1000017	0	200	10000	300	1150	660	6850	0	0	100	0	0	0	400	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
117	1000018	0	200	10000	300	850	700	7000	0	300	0	0	0	0	100	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
118	1000019	0	200	10000	300	3400	2200	20290	2300	0	1400	0	900	1400	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
119	1000020	0	200	10000	300	850	700	7000	0	0	0	250	0	0	250	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
120	1000021	0	200	10000	300	850	700	7000	0	100	0	0	0	0	300	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
121	1000022	0	200	10000	300	1130	540	6000	0	0	100	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
122	1000023	0	200	10000	300	850	700	7000	0	100	0	0	0	0	250	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
123	1000024	0	200	10000	300	2300	930	10600	500	0	600	0	0	100	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
124	1000025	0	200	10000	300	1150	660	6850	0	0	900	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
125	1000026	0	200	10000	300	1350	1220	12700	600	0	550	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
126	1000027	0	200	10000	300	2200	930	10600	700	0	450	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
127	1000028	0	200	10000	300	1130	540	6000	0	0	250	100	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
200	2000107	-1000000	0	0	0	0	0	58485	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2007_1,model2007_2,model2007_3	0	0	1	1	1	1	1	0	0,0,0,0
201	2000107	-1000000	0	0	0	0	0	162574	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2007_1,model2007_2,model2007_3	0	0	1	1	1	1	1	0	0,0,0,0
202	2000107	-1000000	0	0	0	0	0	264364	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2007_1,model2007_2,model2007_3	0	0	1	1	1	1	1	0	0,0,0,0
203	2000107	-1000000	0	0	0	0	0	511806	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2007_1,model2007_2,model2007_3	0	0	1	1	1	1	1	0	0,0,0,0
204	2000107	-1000000	0	0	0	0	0	859329	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2007_1,model2007_2,model2007_3	0	0	1	1	1	1	1	0	0,0,0,0
205	2000107	-1000000	0	0	0	0	0	1054944	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2007_1,model2007_2,model2007_3	0	0	1	1	1	1	1	0	0,0,0,0
206	2000107	-1000000	0	0	0	0	0	1222194	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2007_1,model2007_2,model2007_3	0	0	1	1	1	1	1	0	0,0,0,0
207	2000108	-1000000	0	0	0	0	0	58485	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2008_1,model2008_2,model2008_3	0	0	1	1	1	1	1	0	0,0,0,0
208	2000108	-1000000	0	0	0	0	0	162574	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2008_1,model2008_2,model2008_3	0	0	1	1	1	1	1	0	0,0,0,0
209	2000108	-1000000	0	0	0	0	0	264364	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2008_1,model2008_2,model2008_3	0	0	1	1	1	1	1	0	0,0,0,0
210	2000108	-1000000	0	0	0	0	0	511806	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2008_1,model2008_2,model2008_3	0	0	1	1	1	1	1	0	0,0,0,0
211	2000108	-1000000	0	0	0	0	0	859329	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2008_1,model2008_2,model2008_3	0	0	1	1	1	1	1	0	0,0,0,0
212	2000108	-1000000	0	0	0	0	0	1054944	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2008_1,model2008_2,model2008_3	0	0	1	1	1	1	1	0	0,0,0,0
213	2000108	-1000000	0	0	0	0	0	1222194	0	0	0	0	0	0	0	0	0	0	0	0	0	1	model2008_1,model2008_2,model2008_3	0	0	1	1	1	1	1	0	0,0,0,0
1000	2000101	-1000000	200	10000	300	374	0	400	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1001	2000102	-1000000	200	10000	300	374	0	400	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1002	2000104	-1000000	200	10000	300	374	0	400	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1003	2000105	-1000000	200	10000	300	374	0	400	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1004	2000106	-1000000	200	10000	300	374	0	400	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1005	2000109	-1000000	200	10000	300	374	0	400	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1006	1000003	0	200	10000	300	820	0	3000	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1007	1000007	0	200	10000	300	1045	0	2700	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1008	1000006	0	200	10000	300	1234	0	2600	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1009	1000004	0	200	10000	300	580	0	2000	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1010	2000101	-1000000	200	10000	300	382	0	518	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1011	2000102	-1000000	200	10000	300	382	0	518	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1012	2000104	-1000000	200	10000	300	382	0	518	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1013	2000105	-1000000	200	10000	300	382	0	518	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1014	2000106	-1000000	200	10000	300	382	0	518	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1015	2000109	-1000000	200	10000	300	382	0	518	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1016	1000001	0	200	10000	300	1258	0	4200	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1017	1000017	0	200	10000	300	737	0	3050	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1018	1000009	0	200	10000	300	1065	0	4400	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	3300	1	1	1	1	1	1	0,0,0,0
1019	2000101	-1000000	200	10000	300	390	33	936	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1020	2000102	-1000000	200	10000	300	390	33	936	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1021	2000104	-1000000	200	10000	300	390	33	936	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
1022	2000105	-1000000	200	10000	300	390	33	936	0	0	0	0	0	0	0	0	10000	0	0	0	0	0		0	0	1	1	1	1	1	1	0,0,0,0
