主ID	排名类型	排名上限	排名下限	积分	奖励	Vip限制
Id	RankType	RankUp	RankDown	Point	Reward	LimitVip
int	int	int	int	int	string	int
1	1	1	1	0	9:1200,2:400,1:100000	0
2	1	2	2	0	9:1050,2:360,1:95000	0
3	1	3	3	0	9:900,2:320,1:90000	0
4	1	4	4	0	9:800,2:280,1:85000	0
5	1	5	5	0	9:750,2:260,1:80000	0
6	1	6	6	0	9:720,2:250,1:75000	0
7	1	7	7	0	9:690,2:240,1:70000	0
8	1	8	8	0	9:660,2:230,1:65000	0
9	1	9	9	0	9:630,2:220,1:60000	0
10	1	10	10	0	9:600,2:210,1:55000	0
11	1	11	100	0	9:500,2:200,1:50000	0
12	1	101	200	0	9:400,2:150,1:40000	0
13	1	201	300	0	9:370,2:120,1:30000	0
14	1	301	400	0	9:340,2:85,1:22000	0
15	1	401	500	0	9:320,2:85,1:22000	0
16	1	501	600	0	9:300,2:80,1:20000	0
17	1	601	700	0	9:290,2:80,1:20000	0
18	1	701	800	0	9:280,2:70,1:18000	0
19	1	801	900	0	9:280,2:70,1:18000	0
20	1	901	1000	0	9:280,2:70,1:18000	0
21	1	1001	5000	0	9:250,2:50,1:15000	0
22	2	0	0	2	9:100,4080002:15,1:15000	0
23	2	0	0	4	9:100,4080002:15,1:18000	0
24	2	0	0	6	9:100,4080002:15,1:21000	0
25	2	0	0	8	9:150,6:1,1:24000	0
26	2	0	0	10	9:150,4100005:1,1:30000	0
27	2	0	0	12	9:100,4080002:15,1:15000	2
28	2	0	0	14	9:100,4080002:15,1:18000	2
29	2	0	0	16	9:100,6:1,1:21000	2
30	2	0	0	18	9:150,4100005:2,1:24000	2
31	2	0	0	20	9:150,4100005:3,1:30000	2
32	3	1	1	0	7:800,1:80000	0
33	3	2	2	0	7:750,1:75000	0
34	3	3	3	0	7:710,1:71000	0
35	3	4	4	0	7:680,1:68000	0
36	3	5	5	0	7:650,1:65000	0
37	3	6	6	0	7:620,1:62000	0
38	3	7	7	0	7:590,1:59000	0
39	3	8	8	0	7:560,1:57000	0
40	3	9	9	0	7:530,1:55000	0
41	3	10	10	0	7:500,1:53000	0
42	3	11	100	0	7:450,1:50000	0
43	3	101	200	0	7:430,1:48000	0
44	3	201	300	0	7:410,1:45000	0
45	3	301	400	0	7:390,1:42000	0
46	3	401	500	0	7:370,1:40000	0
47	3	501	600	0	7:350,1:38000	0
48	3	601	700	0	7:330,1:35000	0
49	3	701	800	0	7:310,1:32000	0
50	3	801	900	0	7:290,1:30000	0
51	3	901	1000	0	7:270,1:28000	0
52	3	1001	100000	0	7:250,1:25000	0
