主id	名称	星级	品质	等级	战斗力	头像	宣言	前排怪1	前排怪2	前排怪3	后排1	后排2	后排3
Id	RobotName	Star	QualityLevel	RobotLevel	BattleValue	HeadPhotoId	Declaration	Before1	Before2	Before3	After1	After2	After3
int	string	int	int	int	int	int	string	int	int	int	int	int	int
1	光头强10	4	3	25	12913	1	我是超级格斗家	102	109	115	123	125	126
2	光头强10	4	3	25	12913	1	我是超级格斗家	102	109	115	123	125	126
3	光头强9	4	3	25	12913	1	我是超级格斗家	102	109	115	106	108	126
4	光头强9	4	3	25	12913	1	我是超级格斗家	102	109	115	106	108	126
5	光头强8	4	3	25	12913	1	我是超级格斗家	102	109	115	105	106	123
6	光头强8	4	3	25	12913	1	我是超级格斗家	102	109	115	105	106	123
7	光头强8	4	3	25	12913	1	我是超级格斗家	102	109	115	105	106	123
8	光头强8	4	3	25	12913	1	我是超级格斗家	102	109	115	105	106	123
9	光头强8	4	3	25	12913	1	我是超级格斗家	102	109	115	105	106	123
10	光头强7	4	3	25	11799	1	我是超级格斗家	100	109	115	126	123	106
11	光头强7	4	3	25	11799	1	我是超级格斗家	100	109	115	126	123	106
12	光头强7	4	3	25	11799	1	我是超级格斗家	100	109	115	126	123	106
13	光头强7	4	3	25	11799	1	我是超级格斗家	100	109	115	126	123	106
14	光头强7	4	3	25	11799	1	我是超级格斗家	100	109	115	126	123	106
15	光头强7	4	3	25	11799	1	我是超级格斗家	100	109	115	126	123	106
16	光头强7	4	3	25	11799	1	我是超级格斗家	100	109	115	126	123	106
17	光头强7	4	3	25	11799	1	我是超级格斗家	100	109	115	126	123	106
18	光头强7	4	3	25	11799	1	我是超级格斗家	100	109	115	126	123	106
19	光头强7	4	3	25	11799	1	我是超级格斗家	100	109	115	126	123	106
20	光头强6	4	3	25	11799	1	我是超级格斗家	100	109	115	105	108	125
21	光头强6	4	3	20	11799	1	我是超级格斗家	100	109	115	105	108	125
22	光头强6	4	3	20	11799	1	我是超级格斗家	100	109	115	105	108	125
23	光头强6	4	3	20	11799	1	我是超级格斗家	100	109	115	105	108	125
24	光头强6	4	3	20	11799	1	我是超级格斗家	100	109	115	105	108	125
25	光头强6	4	3	20	11799	1	我是超级格斗家	100	109	115	105	108	125
26	光头强6	4	3	20	11799	1	我是超级格斗家	100	109	115	105	108	125
27	光头强6	4	3	20	11799	1	我是超级格斗家	100	109	115	105	108	125
28	光头强6	4	3	20	11799	1	我是超级格斗家	100	109	115	105	108	125
29	光头强6	4	2	20	11799	1	我是超级格斗家	100	109	115	105	108	125
30	光头强5	4	2	20	8030	1	我是超级格斗家	100	117	109	125	101	104
31	光头强6	4	2	20	8030	1	我是超级格斗家	100	117	109	125	101	104
32	光头强7	4	2	20	8030	1	我是超级格斗家	100	117	109	125	101	104
33	光头强8	4	2	20	8030	1	我是超级格斗家	100	117	109	125	101	104
34	光头强9	4	2	20	8030	1	我是超级格斗家	100	117	109	125	101	104
35	光头强10	4	2	20	8030	1	我是超级格斗家	100	117	109	125	101	104
36	光头强11	4	2	20	8030	1	我是超级格斗家	100	117	109	125	101	104
37	光头强12	4	2	20	8030	1	我是超级格斗家	100	117	109	125	101	104
38	光头强13	4	2	20	8030	1	我是超级格斗家	100	117	109	125	101	104
39	光头强14	4	2	20	8030	1	我是超级格斗家	100	117	109	125	101	104
40	光头强4	4	2	20	8030	1	我是超级格斗家	100	117	119	105	125	104
41	光头强5	4	2	20	8030	1	我是超级格斗家	100	117	119	105	125	104
42	光头强6	4	2	20	8030	1	我是超级格斗家	100	117	119	105	125	104
43	光头强7	4	2	20	8030	1	我是超级格斗家	100	117	119	105	125	104
44	光头强8	4	2	20	8030	1	我是超级格斗家	100	117	119	105	125	104
45	光头强9	4	2	20	8030	1	我是超级格斗家	100	117	119	105	125	104
46	光头强10	4	2	20	8030	1	我是超级格斗家	100	117	119	105	125	104
47	光头强11	4	2	20	8030	1	我是超级格斗家	100	117	119	105	125	104
48	光头强12	4	2	20	8030	1	我是超级格斗家	100	117	119	105	125	104
49	光头强13	4	2	20	8030	1	我是超级格斗家	100	117	119	105	125	104
50	光头强3	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
51	光头强4	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
52	光头强5	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
53	光头强6	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
54	光头强7	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
55	光头强8	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
56	光头强9	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
57	光头强10	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
58	光头强11	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
59	光头强12	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
60	光头强13	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
61	光头强14	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
62	光头强15	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
63	光头强16	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
64	光头强17	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
65	光头强18	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
66	光头强19	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
67	光头强20	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
68	光头强21	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
69	光头强22	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
70	光头强23	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
71	光头强24	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
72	光头强25	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
73	光头强26	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
74	光头强27	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
75	光头强28	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
76	光头强29	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
77	光头强30	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
78	光头强31	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
79	光头强32	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
80	光头强33	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
81	光头强34	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
82	光头强35	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
83	光头强36	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
84	光头强37	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
85	光头强38	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
86	光头强39	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
87	光头强40	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
88	光头强41	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
89	光头强42	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
90	光头强43	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
91	光头强44	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
92	光头强45	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
93	光头强46	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
94	光头强47	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
95	光头强48	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
96	光头强49	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
97	光头强50	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
98	光头强51	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
99	光头强52	4	2	20	8030	1	我是超级格斗家	100	109	115	101	104	127
100	光头强2	4	2	20	8030	1	我是超级格斗家	100	115	122	108	101	104
101	光头强3	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
102	光头强4	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
103	光头强5	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
104	光头强6	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
105	光头强7	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
106	光头强8	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
107	光头强9	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
108	光头强10	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
109	光头强11	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
110	光头强12	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
111	光头强13	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
112	光头强14	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
113	光头强15	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
114	光头强16	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
115	光头强17	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
116	光头强18	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
117	光头强19	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
118	光头强20	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
119	光头强21	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
120	光头强22	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
121	光头强23	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
122	光头强24	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
123	光头强25	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
124	光头强26	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
125	光头强27	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
126	光头强28	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
127	光头强29	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
128	光头强30	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
129	光头强31	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
130	光头强32	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
131	光头强33	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
132	光头强34	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
133	光头强35	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
134	光头强36	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
135	光头强37	4	2	15	8030	1	我是超级格斗家	100	115	122	108	101	104
