ID	小技能	怒气技能	被动1	低资质被动2	高资质被动2	被动3	被动4	神卡小技能	神卡怒气技能	神卡被动1	神卡被动2
Id	SmallSkill	AngerSkill	Skill1	LowerSkill2	SeniorSkill2	Skill3	Skill4	BossSmallSkill	BossAngerSkill	BossSkill1	BossSkill2
int	int	int	int	int	int	int	int	int	int	int	int
1	500	700	500	1250	1250	1250	1250	500	700	500	1250
2	550	800	550	1375	1375	1375	1375	550	800	550	1375
3	600	900	600	1500	1500	1500	1500	600	900	600	1500
4	650	1000	650	1625	1625	1625	1625	650	1000	650	1625
5	700	1100	700	1750	1750	1750	1750	700	1100	700	1750
6	750	1200	750	1875	1875	1875	1875	750	1200	750	1875
7	800	1300	800	2000	2000	2000	2000	800	1300	800	2000
8	850	1400	850	2125	2125	2125	2125	850	1400	850	2125
9	900	1500	900	2250	2250	2250	2250	900	1500	900	2250
10	950	1600	950	2375	2375	2375	2375	950	1600	950	2375
11	1000	1700	1000	2500	2500	2500	2500	1000	1700	1000	2500
12	1050	1800	1050	2625	2625	2625	2625	1050	1800	1050	2625
13	1100	1900	1100	2750	2750	2750	2750	1100	1900	1100	2750
14	1150	2000	1150	2875	2875	2875	2875	1150	2000	1150	2875
15	1200	2100	1200	3000	3000	3000	3000	1200	2100	1200	3000
16	1250	2200	1250	3125	3125	3125	3125	1250	2200	1250	3125
17	1300	2300	1300	3250	3250	3250	3250	1300	2300	1300	3250
18	1350	2400	1350	3375	3375	3375	3375	1350	2400	1350	3375
19	1400	2500	1400	3500	3500	3500	3500	1400	2500	1400	3500
20	1450	2600	1450	3625	3625	3625	3625	1450	2600	1450	3625
21	1500	2700	1500	3750	3750	3750	3750	1500	2700	1500	3750
22	1550	2800	1550	3875	3875	3875	3875	1550	2800	1550	3875
23	1600	2900	1600	4000	4000	4000	4000	1600	2900	1600	4000
24	1650	3000	1650	4125	4125	4125	4125	1650	3000	1650	4125
25	1700	3100	1700	4250	4250	4250	4250	1700	3100	1700	4250
26	1750	3200	1750	4375	4375	4375	4375	1750	3200	1750	4375
27	1800	3300	1800	4500	4500	4500	4500	1800	3300	1800	4500
28	1850	3400	1850	4625	4625	4625	4625	1850	3400	1850	4625
29	1900	3500	1900	4750	4750	4750	4750	1900	3500	1900	4750
30	1950	3600	1950	4875	4875	4875	4875	1950	3600	1950	4875
31	2000	3700	2000	5000	5000	5000	5000	2000	3700	2000	5000
32	5000	6000	5000	12500	12500	12500	12500	5000	6000	5000	12500
33	5200	6400	5200	13000	13000	13000	13000	5200	6400	5200	13000
34	5400	6800	5400	13500	13500	13500	13500	5400	6800	5400	13500
35	5600	7200	5600	14000	14000	14000	14000	5600	7200	5600	14000
36	5800	7600	5800	14500	14500	14500	14500	5800	7600	5800	14500
37	6000	8000	6000	15000	15000	15000	15000	6000	8000	6000	15000
38	6200	8400	6200	15500	15500	15500	15500	6200	8400	6200	15500
39	6400	8800	6400	16000	16000	16000	16000	6400	8800	6400	16000
40	6600	9200	6600	16500	16500	16500	16500	6600	9200	6600	16500
41	6800	9600	6800	17000	17000	17000	17000	6800	9600	6800	17000
42	7000	10000	7000	17500	17500	17500	17500	7000	10000	7000	17500
43	7600	11000	7600	19000	19000	19000	19000	7600	11000	7600	19000
44	8200	12000	8200	20750	20750	20750	20750	8200	12000	8200	20750
45	8800	13000	8800	22500	22500	22500	22500	8800	13000	8800	22500
46	9400	14000	9400	24000	24000	24000	24000	9400	14000	9400	24000
47	10000	15000	10000	25000	25000	25000	25000	10000	15000	10000	25000
48	11000	17000	11000	27500	27500	27500	27500	11000	17000	11000	27500
49	12000	19000	12000	30000	30000	30000	30000	12000	19000	12000	30000
50	13000	21000	13000	32500	32500	32500	32500	13000	21000	13000	32500
51	14000	23000	14000	35000	35000	35000	35000	14000	23000	14000	35000
52	15000	25000	15000	37500	37500	37500	37500	15000	25000	15000	37500
53	16000	27000	16000	40000	40000	40000	40000	16000	27000	16000	40000
54	17000	29000	17000	45000	45000	45000	45000	17000	29000	17000	45000
55	18000	31000	18000	50000	50000	50000	50000	18000	31000	18000	50000
56	19000	33000	19000	55000	55000	55000	55000	19000	33000	19000	55000
57	20000	35000	20000	60000	60000	60000	60000	20000	35000	20000	60000
58	22000	39000	22000	65000	65000	65000	65000	22000	39000	22000	65000
59	24000	43000	24000	70000	70000	70000	70000	24000	43000	24000	70000
60	26000	47000	26000	75000	75000	75000	75000	26000	47000	26000	75000
61	28000	51000	28000	80000	80000	80000	80000	28000	51000	28000	80000
62	30000	55000	30000	85000	85000	85000	85000	30000	55000	30000	85000
63	32000	59000	32000	90000	90000	90000	90000	32000	59000	32000	90000
64	34000	63000	34000	95000	95000	95000	95000	34000	63000	34000	95000
65	36000	67000	36000	100000	100000	100000	100000	36000	67000	36000	100000
66	38000	71000	38000	110000	110000	110000	110000	38000	71000	38000	110000
67	40000	75000	40000	110000	110000	110000	110000	40000	75000	40000	110000
68	43000	81000	43000	110000	110000	110000	110000	43000	81000	43000	110000
69	46000	87000	46000	110000	110000	110000	110000	46000	87000	46000	110000
70	49000	93000	49000	110000	110000	110000	110000	49000	93000	49000	110000
71	52000	99000	52000	110000	110000	110000	110000	52000	99000	52000	110000
72	55000	110000	55000	110000	110000	110000	110000	55000	110000	55000	110000
73	60000	120000	60000	110000	110000	110000	110000	60000	120000	60000	110000
74	65000	130000	65000	110000	110000	110000	110000	65000	130000	65000	110000
75	70000	140000	70000	110000	110000	110000	110000	70000	140000	70000	110000
76	75000	150000	75000	110000	110000	110000	110000	75000	150000	75000	110000
77	80000	160000	80000	110000	110000	110000	110000	80000	160000	80000	110000
78	85000	170000	85000	110000	110000	110000	110000	85000	170000	85000	110000
79	90000	180000	90000	110000	110000	110000	110000	90000	180000	90000	110000
80	95000	190000	95000	110000	110000	110000	110000	95000	190000	95000	110000
81	100000	200000	100000	110000	110000	110000	110000	100000	200000	100000	110000
82	110000	215000	110000	130000	130000	130000	130000	110000	215000	110000	130000
83	120000	230000	120000	150000	150000	150000	150000	120000	230000	120000	150000
84	130000	245000	130000	170000	170000	170000	170000	130000	245000	130000	170000
85	140000	260000	140000	190000	190000	190000	190000	140000	260000	140000	190000
86	150000	275000	150000	210000	210000	210000	210000	150000	275000	150000	210000
87	160000	290000	160000	230000	230000	230000	230000	160000	290000	160000	230000
88	170000	305000	170000	250000	250000	250000	250000	170000	305000	170000	250000
89	180000	320000	180000	270000	270000	270000	270000	180000	320000	180000	270000
90	190000	335000	190000	290000	290000	290000	290000	190000	335000	190000	290000
91	200000	350000	200000	310000	310000	310000	310000	200000	350000	200000	310000
92	220000	380000	220000	350000	350000	350000	350000	220000	380000	220000	350000
93	240000	410000	240000	390000	390000	390000	390000	240000	410000	240000	390000
94	260000	440000	260000	430000	430000	430000	430000	260000	440000	260000	430000
95	280000	470000	280000	470000	470000	470000	470000	280000	470000	280000	470000
96	300000	500000	300000	510000	510000	510000	510000	300000	500000	300000	510000
97	320000	530000	320000	550000	550000	550000	550000	320000	530000	320000	550000
98	340000	560000	340000	590000	590000	590000	590000	340000	560000	340000	590000
99	360000	590000	360000	630000	630000	630000	630000	360000	590000	360000	630000
100	380000	620000	380000	670000	670000	670000	670000	380000	620000	380000	670000
101	400000	650000	400000	710000	710000	710000	710000	400000	650000	400000	710000
102	420000	680000	420000	750000	750000	750000	750000	420000	680000	420000	750000
103	440000	710000	440000	790000	790000	790000	790000	440000	710000	440000	790000
104	460000	740000	460000	830000	830000	830000	830000	460000	740000	460000	830000
105	0	0	0	0	0	0	0	0	0	0	0
