抽卡ID	奖品物品ID1	奖品物品ID2	奖品物品ID3	奖品物品ID4	奖品物品ID5	奖品物品ID6	单次购买的道具或者资源ID	1次消耗货币数量	抽卡概率	抽卡库ID1	抽卡库ID2	抽卡库ID3	抽卡库ID4	抽卡库ID5	抽卡库ID6	抽卡库ID7
Id	RewardId1	RewardId2	RewardId3	RewardId4	RewardId5	RewardId6	BuyId	OneTimeConsume	PickRate	DropLib1	DropLib2	DropLib3	DropLib4	DropLib5	DropLib6	DropLib7
int	int	int	int	int	int	int	int	int	string	int	int	int	int	int	int	int
1	1000012	1000015	4040003	4050003	4110104	0	20441	400	14000:200,16000:1000,18000:3500,20000:9000,22000:10000	20442	20442	20444	20442	20442	20442	20443
2	1000011	1000001	4040003	4050003	4110104	0	20441	400	14000:200,16000:1000,18000:3500,20000:9000,22000:10000	20442	20442	20444	20442	20442	20442	20445
3	1000019	1000016	4040003	4050003	4110104	0	20441	400	14000:200,16000:1000,18000:3500,20000:9000,22000:10000	20442	20442	20444	20442	20442	20442	20446
4	1000003	1000006	4040003	4050003	4110104	0	20441	400	14000:200,16000:1000,18000:3500,20000:9000,22000:10000	20442	20442	20444	20442	20442	20442	20447
5	1000007	1000008	4040003	4050003	4110104	0	20441	400	14000:200,16000:1000,18000:3500,20000:9000,22000:10000	20442	20442	20444	20442	20442	20442	20448
6	1000009	1000010	4040003	4050003	4110104	0	20441	400	14000:200,16000:1000,18000:3500,20000:9000,22000:10000	20442	20442	20444	20442	20442	20442	20449
7	1000024	1000026	4040003	4050003	4110104	0	20441	400	14000:200,16000:1000,18000:3500,20000:9000,22000:10000	20442	20442	20444	20442	20442	20442	20450
8	1000027	1000018	4040003	4050003	4110104	0	20441	400	14000:200,16000:1000,18000:3500,20000:9000,22000:10000	20442	20442	20444	20442	20442	20442	20451
