ID	层类型	层首领模型	简单战斗力百分比	简单等级浮动	简单怪物星级浮动	中等战斗力百分比	中等等级浮动	中等怪物星级浮动	困难战斗力百分比	困难等级浮动	困难怪物星级浮动	奖励	开箱子	状态1消耗积分	状态2消耗积分	状态3消耗积分
ID	LevelType	LevelMonster	Easy	EasyArea	EasyMonsterStar	Normal	NormalArea	NormalMonsterStar	Hard	HardArea	HardMonsterStar	Prize	BoxPrize	Buff1Score	Buff2Score	Buff3Score
int	int	int	int	string	string	int	string	string	int	string	string	int	string	string	string	string
1	1	1000001	2500	25:27	5:6	3000	27:29	6:7	3500	29:31	6:7	0	0	0	0	0
2	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:1:1000,80004:1:1000,80007:1:1000,80010:1:1000,80013:1:1000,80016:1:1000,80019:1:1000,80022:1:1000,80041:1:1000,80044:1:1000	80001:1:1000,80004:1:1000,80007:1:1000,80010:1:1000,80013:1:1000,80016:1:1000,80019:1:1000,80022:1:1000,80041:1:1000,80044:1:1000	80001:1:1000,80004:1:1000,80007:1:1000,80010:1:1000,80013:1:1000,80016:1:1000,80019:1:1000,80022:1:1000,80041:1:1000,80044:1:1000
3	1	1000002	3000	31:33	5:6	3600	33:35	6:7	4200	35:37	6:7	0	0	0	0	0
4	2	0	0	0	0	0	0	0	0	0	0	20348	20366	0	0	0
5	1	1000003	3600	38:40	5:6	4320	27:30	6:7	5040	29:32	6:7	0	0	0	0	0
6	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:10:1000,80005:10:1000,80008:10:1000,80011:10:1000,80014:10:1000,80017:10:1000,80020:10:1000,80023:10:1000,80042:10:1000,80045:10:1000	80003:20:1000,80006:20:1000,80009:20:1000,80012:20:1000,80015:20:1000,80018:20:1000,80021:20:1000,80024:20:1000,80043:20:1000,80046:20:1000
7	1	1000004	4320	25:28	5:6	5184	33:36	6:7	6048	35:38	6:7	0	0	0	0	0
8	2	0	0	0	0	0	0	0	0	0	0	20349	20367	0	0	0
9	1	1000005	5184	31:34	5:6	6221	27:31	6:7	7258	29:33	6:7	0	0	0	0	0
10	2	0	0	0	0	0	0	0	0	0	0	20350	20368	0	0	0
11	1	1000006	4320	38:41	5:6	5184	33:37	6:7	6048	35:39	6:7	0	0	0	0	0
12	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:20:1000,80005:20:1000,80008:20:1000,80011:20:1000,80014:20:1000,80017:20:1000,80020:20:1000,80023:20:1000,80042:20:1000,80045:20:1000	80003:40:1000,80006:40:1000,80009:40:1000,80012:40:1000,80015:40:1000,80018:40:1000,80021:40:1000,80024:40:1000,80043:40:1000,80046:40:1000
13	1	1000007	4968	25:29	5:6	5962	27:32	6:7	6956	29:34	6:7	0	0	0	0	0
14	2	0	0	0	0	0	0	0	0	0	0	20351	20369	0	0	0
15	1	1000008	5714	31:35	5:6	6857	33:38	6:7	8000	35:40	6:7	0	0	0	0	0
16	3	0	0	0	0	0	0	0	0	0	0	0	0	80001:5:1000,80004:5:1000,80007:5:1000,80010:5:1000,80013:5:1000,80016:5:1000,80019:5:1000,80022:5:1000,80041:5:1000,80044:5:1000	80002:20:1000,80005:20:1000,80008:20:1000,80011:20:1000,80014:20:1000,80017:20:1000,80020:20:1000,80023:20:1000,80042:20:1000,80045:20:1000	80003:40:1000,80006:40:1000,80009:40:1000,80012:40:1000,80015:40:1000,80018:40:1000,80021:40:1000,80024:40:1000,80043:40:1000,80046:40:1000
