VIPID	VIP等级	VIP经验自增	VIP经验	VIP钻石	VIP背景	VIP描述	购买体力	精英关卡重置次数	技能点购买次数	技能点回复时间	竞技场跳过战斗	十连扫	五十连扫	竞技场积分战败同样+2	终极试练跳过战斗	终极试炼特权扫层	终极试练积分	竞技场冷却	金币副本冷却时间	神秘商店刷新次数	VIP礼包原价	VIP礼包价格	VIP礼包内容
VIPId	VIPLv	VIPExpAdd	VIPExp	VIPDiamond	VIPBG	VIPExplain	SpiritShop	StageReset	BuySkillPointTimes	SkillReply	JJCSkip	TenSweep	FiftySweep	JJCFail	FinalSkip	FinalSweepFloor	FinalIntegral	JJCCool	GoldStageCool	SecretShop	VIPPackageOriginal	VIPPackagePrice	VIPPackage
int	int	int	int	int	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
1	0	60	60	60			2	0	5	300	0	0	0	0	0	0	10000	300	600	1	0	0	0
2	1	240	300	300		VIPExplain_1	2	1	6	300	0	0	0	0	0	0	10000	300	600	1	2880	0	4070026:100,3:100,4080002:50,1:100000
3	2	150	450	450		VIPExplain_2	6	2	7	300	0	0	0	0	1	0	10000	300	600	1	2880	180	4100007:3,4080002:50,1:100000
4	3	150	600	600		VIPExplain_3	6	2	8	60	0	0	0	0	1	1	10000	300	600	1	3880	280	4100004:2,4080003:30,1:100000
5	4	600	1200	1200		VIPExplain_4	6	3	9	60	0	1	0	0	1	1	10000	300	600	1	4880	480	4011010:1,4080003:30,1:100000
6	5	600	1800	1800		VIPExplain_5	10	3	10	60	1	1	0	0	1	1	10000	300	600	1	6880	680	4070026:50,4080003:30,1:100000
7	6	1200	3000	3000		VIPExplain_6	10	4	11	60	1	1	1	1	1	1	10000	300	600	1	8880	880	4011001:1,4080003:30,1:100000
8	7	1200	4200	4200		VIPExplain_7	10	4	12	60	1	1	1	1	1	1	11000	300	600	1	12880	1280	4070026:100,4080003:30,1:100000
9	8	1800	6000	6000		VIPExplain_8	15	5	13	60	1	1	1	1	1	1	11000	120	600	1	16880	1680	4011007:1,4080004:20,1:150000
10	9	3000	9000	9000		VIPExplain_9	15	5	14	5	1	1	1	1	1	1	11000	120	600	1	20000	2280	4070026:150,4110203:20,1:150000
11	10	3000	12000	12000		VIPExplain_10	15	6	15	5	1	1	1	1	1	1	11000	120	600	1	30000	2680	4010026:1,4110203:20,1:150000
12	11	6000	18000	18000		VIPExplain_11	15	6	16	5	1	1	1	1	1	1	11000	120	60	1	40000	3380	2:8880,4110203:40,1:200000
13	12	18000	36000	36000		VIPExplain_12	20	7	17	5	1	1	1	1	1	1	11500	120	60	1	60000	4880	4070011:150,4110203:60,1:200000
14	13	36000	72000	72000		VIPExplain_13	20	7	18	5	1	1	1	1	1	1	11500	60	60	1	100000	6880	4011006:1,4011007:1,4110203:100,1:200000
15	14	48000	120000	120000		VIPExplain_14	20	8	19	5	1	1	1	1	1	1	12000	60	60	1	200000	10880	4070011:100,4110203:200,1:300000
16	15	60000	180000	180000		VIPExplain_15	20	8	20	5	1	1	1	1	1	1	13000	60	60	3	300000	20880	4010011:1,4110203:300,1:400000
